scroll,z,k,seed,cell,x,y,inside
PHerc0826,1941,0,20262856,a,4899.245815887747,-2837.0710455336766,0
PHerc0826,1941,0,20262856,b,5226.245815887747,4481.928954466323,1
PHerc0826,1941,0,20262856,c,4753.351502882633,0.0,1
PHerc0826,1941,0,20262856,d,5236.3965519914245,4473.889812152031,1
PHerc0826,1941,1,20263856,a,5044.980254657044,-3305.7454341885086,0
PHerc0826,1941,1,20263856,b,5239.980254657044,4471.254565811491,1
PHerc0826,1941,1,20263856,c,4869.980254657044,0.0,1
PHerc0826,1941,1,20263856,d,5267.984202310148,4454.309159049957,1
PHerc0826,1941,2,20264856,a,5082.656681285488,-3143.6850675332043,0
PHerc0826,1941,2,20264856,b,5229.656681285488,4452.314932466796,1
PHerc0826,1941,2,20264856,c,4908.656681285488,0.0,1
PHerc0826,1941,2,20264856,d,5229.8460566097265,4451.560382494717,1
PHerc0826,1941,3,20265856,a,5032.79626393032,-3095.7623218607678,0
PHerc0826,1941,3,20265856,b,5059.79626393032,4357.237678139232,1
PHerc0826,1941,3,20265856,c,4883.40082890655,0.0,1
PHerc0826,1941,3,20265856,d,5252.018534126479,4452.065257922609,1
PHerc0826,1941,4,20266856,a,5075.227781332376,-3307.926701978396,0
PHerc0826,1941,4,20266856,b,5119.227781332376,4412.0732980216035,1
PHerc0826,1941,4,20266856,c,4913.227781332376,0.0,1
PHerc0826,1941,4,20266856,d,5166.558040031741,4418.978736235364,1
PHerc0826,1941,5,20267856,a,5062.234835764746,-3273.6001639118363,0
PHerc0826,1941,5,20267856,b,5109.234835764746,4413.399836088163,1
PHerc0826,1941,5,20267856,c,4870.1463605261515,0.0,1
PHerc0826,1941,5,20267856,d,5108.967132543734,4413.193243592198,1
PHerc0826,1941,6,20268856,a,4952.130499457039,-3123.4014132649404,0
PHerc0826,1941,6,20268856,b,5246.130499457039,4460.598586735059,1
PHerc0826,1941,6,20268856,c,4819.130499457039,0.0,1
PHerc0826,1941,6,20268856,d,5304.554554658704,4474.266795660515,1
PHerc0826,1941,7,20269856,a,4947.162987616181,-2684.3435083422846,0
PHerc0826,1941,7,20269856,b,5022.162987616181,4361.656491657715,1
PHerc0826,1941,7,20269856,c,4816.162987616181,0.0,1
PHerc0826,1941,7,20269856,d,5023.283267454864,4362.034868175053,1
PHerc0826,1941,8,20270856,a,4969.494368702829,-3670.5462058243593,0
PHerc0826,1941,8,20270856,b,5241.494368702829,4455.453794175641,1
PHerc0826,1941,8,20270856,c,4802.494368702829,0.0,1
PHerc0826,1941,8,20270856,d,5241.92850081089,4455.6363673011365,1
PHerc0826,1941,9,20271856,a,4982.429339490775,-2813.0118843670743,0
PHerc0826,1941,9,20271856,b,4995.429339490775,4296.988115632926,1
PHerc0826,1941,9,20271856,c,4837.429339490775,0.0,1
PHerc0826,1941,9,20271856,d,4994.615955157017,4297.795979546387,1
PHerc0826,1941,10,20272856,a,4983.102587549635,-3089.6355962031957,0
PHerc0826,1941,10,20272856,b,5286.102587549635,4468.364403796804,1
PHerc0826,1941,10,20272856,c,4824.693729667485,0.0,1
PHerc0826,1941,10,20272856,d,5285.067364293061,4468.202850132949,1
PHerc0826,1941,11,20273856,a,5021.761516103573,-3170.7116435118032,0
PHerc0826,1941,11,20273856,b,5068.761516103573,4371.288356488197,1
PHerc0826,1941,11,20273856,c,4865.284509134256,0.0,1
PHerc0826,1941,11,20273856,d,5171.278853156906,4424.266279015718,1
PHerc0826,1941,12,20274856,a,4960.157317830891,-2966.338415268448,0
PHerc0826,1941,12,20274856,b,5228.157317830891,4453.661584731552,1
PHerc0826,1941,12,20274856,c,4819.1030834938365,0.0,1
PHerc0826,1941,12,20274856,d,5227.788922938057,4453.893266323079,1
PHerc0826,1941,13,20275856,a,5038.553024408801,-2840.311300626249,0
PHerc0826,1941,13,20275856,b,5083.553024408801,4378.688699373752,1
PHerc0826,1941,13,20275856,c,4871.553024408801,0.0,1
PHerc0826,1941,13,20275856,d,5082.552771965877,4378.592446201634,1
PHerc0826,1941,14,20276856,a,5053.498894904465,-3217.2852822444056,0
PHerc0826,1941,14,20276856,b,5171.498894904465,4422.714717755594,1
PHerc0826,1941,14,20276856,c,4881.28554211698,0.0,1
PHerc0826,1941,14,20276856,d,5222.49151935632,4456.366496085599,1
PHerc0826,1941,15,20277856,a,4975.20901503312,-2964.0303639989816,0
PHerc0826,1941,15,20277856,b,5270.20901503312,4475.969636001018,1
PHerc0826,1941,15,20277856,c,4831.20901503312,0.0,1
PHerc0826,1941,15,20277856,d,5270.318236487569,4476.209970630083,1
PHerc0826,1941,16,20278856,a,5030.59792072612,-3043.851148023161,0
PHerc0826,1941,16,20278856,b,5307.59792072612,4465.148851976839,1
PHerc0826,1941,16,20278856,c,4866.59792072612,0.0,1
PHerc0826,1941,16,20278856,d,5307.539846505766,4465.3469357818,1
PHerc0826,1941,17,20279856,a,5033.184321366603,-3390.824093078915,0
PHerc0826,1941,17,20279856,b,5007.184321366603,4356.175906921085,1
PHerc0826,1941,17,20279856,c,4849.313890342207,0.0,1
PHerc0826,1941,17,20279856,d,5007.110952586976,4355.449645091771,1
PHerc0826,1941,18,20280856,a,5126.863510711672,-3402.001858533589,0
PHerc0826,1941,18,20280856,b,5308.863510711672,4471.998141466411,1
PHerc0826,1941,18,20280856,c,4938.863510711672,0.0,1
PHerc0826,1941,18,20280856,d,5309.089685400732,4472.369747301715,1
PHerc0826,1941,19,20281856,a,5207.8851700851965,-4141.917641159282,0
PHerc0826,1941,19,20281856,b,5239.8851700851965,4469.082358840718,1
PHerc0826,1941,19,20281856,c,4938.040921766502,0.0,1
PHerc0826,1941,19,20281856,d,5239.321934806861,4470.073708338044,1
PHerc0826,2564,0,20263479,a,5665.441174852615,-4092.295378746094,0
PHerc0826,2564,0,20263479,b,5111.441174852615,4185.704621253906,1
PHerc0826,2564,0,20263479,c,5144.441174852615,0.0,1
PHerc0826,2564,0,20263479,d,5111.507403565634,4184.982810045189,1
PHerc0826,2564,1,20264479,a,5604.782044941949,-3352.5802357198904,0
PHerc0826,2564,1,20264479,b,5215.782044941949,4187.41976428011,1
PHerc0826,2564,1,20264479,c,5241.782044941949,0.0,1
PHerc0826,2564,1,20264479,d,5229.530257486593,4185.650763501624,1
PHerc0826,2564,2,20265479,a,5553.059406854472,-3362.5774175276797,0
PHerc0826,2564,2,20265479,b,5170.059406854472,4185.42258247232,1
PHerc0826,2564,2,20265479,c,5165.059406854472,0.0,1
PHerc0826,2564,2,20265479,d,5170.281156556653,4185.832626817312,1
PHerc0826,2564,3,20266479,a,5808.948219745321,-4468.996549977267,0
PHerc0826,2564,3,20266479,b,5210.948219745321,4185.003450022733,1
PHerc0826,2564,3,20266479,c,5212.948219745321,0.0,1
PHerc0826,2564,3,20266479,d,5210.788177742588,4184.640212490743,1
PHerc0826,2564,4,20267479,a,5945.401469890089,-4649.89562764504,0
PHerc0826,2564,4,20267479,b,5191.401469890089,4176.10437235496,1
PHerc0826,2564,4,20267479,c,5291.401469890089,0.0,1
PHerc0826,2564,4,20267479,d,5192.109259150673,4176.104650400415,1
PHerc0826,2564,5,20268479,a,5693.858017880218,-3615.9319524726557,0
PHerc0826,2564,5,20268479,b,5211.858017880218,4179.068047527344,1
PHerc0826,2564,5,20268479,c,5223.858017880218,0.0,1
PHerc0826,2564,5,20268479,d,5211.662759145284,4178.704539123796,1
PHerc0826,2564,6,20269479,a,5784.91556747363,-4075.4469025672383,0
PHerc0826,2564,6,20269479,b,5128.91556747363,4191.553097432761,1
PHerc0826,2564,6,20269479,c,5221.91556747363,0.0,1
PHerc0826,2564,6,20269479,d,5129.243896326465,4190.862961520555,1
PHerc0826,2564,7,20270479,a,5734.035058906205,-4039.121202138732,0
PHerc0826,2564,7,20270479,b,5157.035058906205,4183.878797861268,1
PHerc0826,2564,7,20270479,c,5217.035058906205,0.0,1
PHerc0826,2564,7,20270479,d,5156.844243993846,4184.136628990639,1
PHerc0826,2564,8,20271479,a,5832.4197052528,-4543.828910271757,0
PHerc0826,2564,8,20271479,b,5202.4197052528,4181.171089728243,1
PHerc0826,2564,8,20271479,c,5220.4197052528,0.0,1
PHerc0826,2564,8,20271479,d,5202.437560200849,4180.711679469134,1
PHerc0826,2564,9,20272479,a,5584.298538448154,-3674.4828479849257,0
PHerc0826,2564,9,20272479,b,5190.298538448154,4181.517152015074,1
PHerc0826,2564,9,20272479,c,5147.298538448154,0.0,1
PHerc0826,2564,9,20272479,d,5188.896668410269,4182.095276642979,1
PHerc0826,2564,10,20273479,a,5508.671568137357,-3332.7003401467687,0
PHerc0826,2564,10,20273479,b,5251.671568137357,4186.299659853232,1
PHerc0826,2564,10,20273479,c,5116.671568137357,0.0,1
PHerc0826,2564,10,20273479,d,5251.894373579541,4185.9534613855585,1
PHerc0826,2564,11,20274479,a,5669.023920740092,-3495.5480314081856,0
PHerc0826,2564,11,20274479,b,5179.023920740092,4212.451968591815,1
PHerc0826,2564,11,20274479,c,5267.023920740092,0.0,1
PHerc0826,2564,11,20274479,d,5178.810940687649,4212.5346652518965,1
PHerc0826,2564,12,20275479,a,5788.205067557968,-4495.691229193059,0
PHerc0826,2564,12,20275479,b,5230.205067557968,4188.308770806941,1
PHerc0826,2564,12,20275479,c,5208.205067557968,0.0,1
PHerc0826,2564,12,20275479,d,5230.925452166873,4188.7416953853,1
PHerc0826,2564,13,20276479,a,5641.736834433828,-3889.5345685595585,0
PHerc0826,2564,13,20276479,b,5152.736834433828,4188.4654314404415,1
PHerc0826,2564,13,20276479,c,5206.736834433828,0.0,1
PHerc0826,2564,13,20276479,d,5152.047226708243,4188.1491917494905,1
PHerc0826,2564,14,20277479,a,5810.992693564069,-4434.525753402873,0
PHerc0826,2564,14,20277479,b,5153.992693564069,4197.474246597127,1
PHerc0826,2564,14,20277479,c,5194.909329947162,0.0,1
PHerc0826,2564,14,20277479,d,5154.129321050415,4197.594811482009,1
PHerc0826,2564,15,20278479,a,5660.38655443743,-3527.9238296820636,0
PHerc0826,2564,15,20278479,b,5216.38655443743,4169.076170317936,1
PHerc0826,2564,15,20278479,c,5242.38655443743,0.0,1
