comparison,scroll,axis,n,bias_mm,loa_low_mm,loa_high_mm
corrected estimate against reference,PHerc0125,x,75,1.195,-0.63,3.02
corrected estimate against reference,PHerc0125,y,75,-0.504,-2.48,1.47
corrected estimate against reference,PHerc0211,x,84,-0.234,-6.16,5.69
corrected estimate against reference,PHerc0211,y,84,0.143,-2.99,3.27
corrected estimate against reference,PHerc0332,x,154,-0.011,-1.19,1.17
corrected estimate against reference,PHerc0332,y,154,-0.006,-0.73,0.72
corrected estimate against reference,PHerc0826,x,45,-1.39,-8.92,6.14
corrected estimate against reference,PHerc0826,y,45,-1.037,-5.73,3.66
corrected estimate against reference,PHercParis4,x,127,-0.52,-1.9,0.86
corrected estimate against reference,PHercParis4,y,127,-0.281,-1.85,1.28
corrected estimate against reference,PHerc0191,x,62,-0.288,-7.58,7.0
corrected estimate against reference,PHerc0191,y,62,0.221,-6.22,6.66
corrected estimate against reference,PHerc0257,x,40,-0.774,-4.47,2.93
corrected estimate against reference,PHerc0257,y,40,0.306,-4.24,4.85
corrected estimate against reference,PHerc0268,x,44,0.569,-7.72,8.85
corrected estimate against reference,PHerc0268,y,44,-0.394,-8.99,8.21
corrected estimate against reference,PHerc0358,x,35,0.616,-3.73,4.96
corrected estimate against reference,PHerc0358,y,35,1.433,-2.38,5.24
corrected estimate against reference,PHerc0800,x,40,0.39,-4.0,4.78
corrected estimate against reference,PHerc0800,y,40,-1.131,-4.84,2.58
corrected estimate against reference,PHerc0813,x,48,-3.945,-11.41,3.52
corrected estimate against reference,PHerc0813,y,48,-0.501,-10.0,9.0
corrected estimate against reference,PHerc1203,x,36,0.532,-1.59,2.65
corrected estimate against reference,PHerc1203,y,36,-0.196,-2.04,1.65
corrected estimate against reference,PHerc1218,x,36,-1.605,-7.66,4.45
corrected estimate against reference,PHerc1218,y,36,0.303,-3.2,3.8
corrected estimate against reference,PHerc1447,x,36,-0.508,-4.13,3.12
corrected estimate against reference,PHerc1447,y,36,-0.198,-2.87,2.48
corrected estimate against reference,PHerc1545,x,32,-0.766,-6.28,4.75
corrected estimate against reference,PHerc1545,y,32,-0.711,-3.37,1.95
