scroll,z,k,seed,p,x,y,inside,capped,guard,seconds
PHerc0125,2140,0,20263055,0.5,5078.61865234,3057.8684082,1,0,0,1.22
PHerc0125,2140,1,20264055,0.5,5127.35839844,3038.66040039,1,0,0,1.22
PHerc0125,2140,2,20265055,0.5,5113.14794922,3047.42480469,1,0,0,1.22
PHerc0125,2140,3,20266055,0.5,5092.80859375,3006.39916992,1,0,0,1.22
PHerc0125,2140,4,20267055,0.5,5054.53222656,3071.51489258,1,0,0,1.22
PHerc0125,2140,5,20268055,0.5,5135.25244141,3064.79150391,1,0,0,1.22
PHerc0125,2140,6,20269055,0.5,5111.64648438,3053.79174805,1,0,0,1.22
PHerc0125,2140,7,20270055,0.5,5083.53417969,3022.40722656,1,0,0,1.22
PHerc0125,2140,8,20271055,0.5,5077.74707031,3059.12963867,1,0,0,1.17
PHerc0125,2140,9,20272055,0.5,5083.85107422,2996.17016602,1,0,0,1.22
PHerc0125,2140,10,20273055,0.5,5108.82958984,3034.86010742,1,0,0,1.22
PHerc0125,2140,11,20274055,0.5,5152.68652344,3037.52612305,1,0,0,1.22
PHerc0125,2140,12,20275055,0.5,5057.47070312,3081.13598633,1,0,0,1.22
PHerc0125,2140,13,20276055,0.5,5092.05273438,3050.53393555,1,0,0,1.22
PHerc0125,2140,14,20277055,0.5,5023.50488281,3041.37963867,1,0,0,1.22
PHerc0125,2140,15,20278055,0.5,5131.59277344,3062.53588867,1,0,0,1.22
PHerc0125,2140,16,20279055,0.5,5055.77734375,3068.94116211,1,0,0,1.22
PHerc0125,2140,17,20280055,0.5,5108.65771484,3033.90209961,1,0,0,1.22
PHerc0125,2140,18,20281055,0.5,5127.98144531,3037.1862793,1,0,0,1.22
PHerc0125,2140,19,20282055,0.5,5154.93310547,3017.06298828,1,0,0,1.17
PHerc0125,2932,0,20263847,0.5,4878.94189453,3204.20996094,1,0,0,1.22
PHerc0125,2932,1,20264847,0.5,4844.84179688,3205.61132812,1,0,0,1.22
PHerc0125,2932,2,20265847,0.5,4855.48486328,3203.47558594,1,0,0,1.22
PHerc0125,2932,3,20266847,0.5,4872.20800781,3179.14746094,1,0,0,1.17
PHerc0125,2932,4,20267847,0.5,4848.92431641,3204.82421875,1,0,0,1.22
PHerc0125,2932,5,20268847,0.5,4881.51074219,3180.10742188,1,0,0,1.22
PHerc0125,2932,6,20269847,0.5,4882.96435547,3185.36230469,1,0,0,1.22
PHerc0125,2932,7,20270847,0.5,4850.13671875,3203.04882812,1,0,0,1.22
PHerc0125,2932,8,20271847,0.5,4860.53808594,3186.70703125,1,0,0,1.22
PHerc0125,2932,9,20272847,0.5,4879.85009766,3203.1171875,1,0,0,1.22
PHerc0125,2932,10,20273847,0.5,4863.63183594,3178.70507812,1,0,0,1.22
PHerc0125,2932,11,20274847,0.5,4877.71484375,3206.62792969,1,0,0,1.22
PHerc0125,2932,12,20275847,0.5,4849.93603516,3210.14453125,1,0,0,1.17
PHerc0125,2932,13,20276847,0.5,4874.60253906,3150.43359375,1,0,0,1.22
PHerc0125,2932,14,20277847,0.5,4848.22998047,3221.56933594,1,0,0,1.22
PHerc0125,2932,15,20278847,0.5,4864.98193359,3196.87207031,1,0,0,1.22
PHerc0125,2932,16,20279847,0.5,4874.16796875,3214.22558594,1,0,0,1.22
PHerc0125,2932,17,20280847,0.5,4868.10888672,3223.02636719,1,0,0,1.22
PHerc0125,2932,18,20281847,0.5,4863.15136719,3215.89599609,1,0,0,1.22
PHerc0125,2932,19,20282847,0.5,4882.13769531,3200.80029297,1,0,0,1.22
PHerc0125,3724,0,20264639,0.5,4887.27050781,3888.17089844,1,0,0,1.22
PHerc0125,3724,1,20265639,0.5,4732.078125,3801.04589844,1,0,0,1.22
PHerc0125,3724,2,20266639,0.5,4692.02392578,3668.48388672,1,0,0,1.22
PHerc0125,3724,3,20267639,0.5,4907.8828125,3894.5859375,1,0,0,1.22
PHerc0125,3724,4,20268639,0.5,4715.68603516,3754.61914062,1,0,0,1.22
PHerc0125,3724,5,20269639,0.5,4854.89355469,3889.72363281,1,0,0,1.22
PHerc0125,3724,6,20270639,0.5,4896.83447266,3843.75390625,1,0,0,1.27
PHerc0125,3724,7,20271639,0.5,4927.18066406,3893.52050781,1,0,0,1.22
PHerc0125,3724,8,20272639,0.5,4762.94238281,3703.76318359,1,0,0,1.22
PHerc0125,3724,9,20273639,0.5,4815.81054688,3895.06054688,1,0,0,1.22
PHerc0125,3724,10,20274639,0.5,4918.18994141,3883.44482422,1,0,0,1.22
PHerc0125,3724,11,20275639,0.5,4836.49560547,3865.42285156,1,0,0,1.22
PHerc0125,3724,12,20276639,0.5,4890.00927734,3844.26953125,1,0,0,1.22
PHerc0125,3724,13,20277639,0.5,4873.61962891,3893.98779297,1,0,0,1.22
PHerc0125,3724,14,20278639,0.5,4840.27050781,3864.88378906,1,0,0,1.22
PHerc0125,3724,15,20279639,0.5,4917.64990234,3923.38574219,1,0,0,1.22
PHerc0125,3724,16,20280639,0.5,4934.55078125,3882.83251953,1,0,0,1.22
PHerc0125,3724,17,20281639,0.5,4841.33935547,3819.64550781,1,0,0,1.22
PHerc0125,3724,18,20282639,0.5,4686.98144531,3672.74609375,1,0,0,1.22
PHerc0125,3724,19,20283639,0.5,4855.46679688,3885.60742188,1,0,0,1.22
PHerc0125,4516,0,20265431,0.5,4481.97412109,3517.56152344,1,0,0,1.22
PHerc0125,4516,1,20266431,0.5,4503.921875,3500.86425781,1,0,0,1.22
PHerc0125,4516,2,20267431,0.5,4460.25244141,3525.34667969,1,0,0,1.22
PHerc0125,4516,3,20268431,0.5,4492.57763672,3542.24267578,1,0,0,1.22
PHerc0125,4516,4,20269431,0.5,4444.57617188,3535.87792969,1,0,0,1.22
PHerc0125,4516,5,20270431,0.5,4525.90478516,3583.00390625,1,0,0,1.22
PHerc0125,4516,6,20271431,0.5,4492.4375,3541.89257812,1,0,0,1.22
PHerc0125,4516,7,20272431,0.5,4459.39160156,3485.52050781,1,0,0,1.22
PHerc0125,4516,8,20273431,0.5,4449.74707031,3584.19238281,1,0,0,1.22
PHerc0125,4516,9,20274431,0.5,4451.38671875,3509.72070312,1,0,0,1.22
PHerc0125,4516,10,20275431,0.5,4502.98535156,3526.94384766,1,0,0,1.22
PHerc0125,4516,11,20276431,0.5,4507.66015625,3528.3359375,1,0,0,1.22
PHerc0125,4516,12,20277431,0.5,4526.05908203,3605.07958984,1,0,0,1.22
PHerc0125,4516,13,20278431,0.5,4545.421875,3597.96972656,1,0,0,1.22
PHerc0125,4516,14,20279431,0.5,4495.39453125,3609.09375,1,0,0,1.22
PHerc0125,4516,15,20280431,0.5,4488.34082031,3561.11816406,1,0,0,1.22
PHerc0125,4516,16,20281431,0.5,4479.63964844,3577.40625,1,0,0,1.22
PHerc0125,4516,17,20282431,0.5,4485.17089844,3521.63085938,1,0,0,1.22
PHerc0125,4516,18,20283431,0.5,4452.03466797,3567.87792969,1,0,0,1.27
PHerc0125,4516,19,20284431,0.5,4500.19238281,3544.99316406,1,0,0,1.22
PHerc0125,5308,0,20266223,0.5,4396.87402344,3798.46484375,1,0,0,1.22
PHerc0125,5308,1,20267223,0.5,4412.54101562,3820.22265625,1,0,0,1.22
PHerc0125,5308,2,20268223,0.5,4393.5546875,3823.67675781,1,0,0,1.22
PHerc0125,5308,3,20269223,0.5,4247.59863281,3766.296875,1,0,0,1.22
PHerc0125,5308,4,20270223,0.5,4240.73242188,3856.19726562,1,0,0,1.22
PHerc0125,5308,5,20271223,0.5,4416.96679688,3829.27246094,1,0,0,1.22
PHerc0125,5308,6,20272223,0.5,4366.49707031,3823.04980469,1,0,0,1.27
PHerc0125,5308,7,20273223,0.5,4425.23828125,3810.06054688,1,0,0,1.22
PHerc0125,5308,8,20274223,0.5,4470.46289062,3858.421875,1,0,0,1.22
PHerc0125,5308,9,20275223,0.5,4468.69775391,3840.10107422,1,0,0,1.22
PHerc0125,5308,10,20276223,0.5,4477.35253906,3893.01855469,1,0,0,1.22
PHerc0125,5308,11,20277223,0.5,4472.25,3852.21582031,1,0,0,1.22
