scroll,block,p,n,spread_median_mm,spread_p90_mm,spread_worst_mm
PHerc0125,primary,0.5,480,0.49,2.95,31.79
PHerc0125,primary,1.0,480,0.81,2.35,5.61
PHerc0125,primary,1.5,480,1.49,4.95,15.75
PHerc0125,primary,2.0,480,3.88,10.84,23.5
PHerc0211,primary,0.5,480,0.29,0.96,10.26
PHerc0211,primary,1.0,480,0.38,1.81,13.9
PHerc0211,primary,1.5,480,0.57,3.48,16.65
PHerc0211,primary,2.0,480,1.66,8.23,25.25
PHerc0332,primary,0.5,480,0.01,0.02,2.67
PHerc0332,primary,1.0,480,0.02,0.05,3.22
PHerc0332,primary,1.5,480,0.03,0.17,4.62
PHerc0332,primary,2.0,480,0.05,0.34,4.52
PHerc0826,primary,0.5,480,0.41,2.89,15.38
PHerc0826,primary,1.0,480,0.81,3.97,12.75
PHerc0826,primary,1.5,480,1.59,6.69,17.61
PHerc0826,primary,2.0,480,3.93,12.86,22.97
PHercParis4,primary,0.5,480,0.25,0.73,20.26
PHercParis4,primary,1.0,480,0.66,1.79,13.36
PHercParis4,primary,1.5,480,2.13,8.4,21.41
PHercParis4,primary,2.0,480,3.8,9.04,19.34
PHerc0191,confirmation,0.5,480,0.42,1.85,13.08
PHerc0191,confirmation,1.0,480,0.85,4.4,18.48
PHerc0191,confirmation,1.5,480,1.54,6.46,23.35
PHerc0191,confirmation,2.0,480,4.04,17.81,32.21
PHerc0257,confirmation,0.5,480,0.28,1.29,10.92
PHerc0257,confirmation,1.0,480,0.4,2.01,8.12
PHerc0257,confirmation,1.5,480,0.72,4.26,16.32
PHerc0257,confirmation,2.0,480,3.2,9.84,24.87
PHerc0268,confirmation,0.5,480,0.92,3.04,10.94
PHerc0268,confirmation,1.0,480,1.4,4.55,43.74
PHerc0268,confirmation,1.5,480,3.07,16.09,43.24
PHerc0268,confirmation,2.0,480,5.07,25.59,50.85
PHerc0358,confirmation,0.5,480,0.39,1.9,7.58
PHerc0358,confirmation,1.0,480,0.4,3.77,12.98
PHerc0358,confirmation,1.5,480,1.13,9.28,25.01
PHerc0358,confirmation,2.0,480,3.28,12.2,31.87
PHerc0800,confirmation,0.5,480,0.42,1.15,10.48
PHerc0800,confirmation,1.0,480,0.78,2.47,7.53
PHerc0800,confirmation,1.5,480,1.6,5.3,27.54
PHerc0800,confirmation,2.0,480,4.45,13.84,30.72
PHerc0813,confirmation,0.5,480,0.34,1.14,6.85
PHerc0813,confirmation,1.0,480,0.7,3.29,6.73
PHerc0813,confirmation,1.5,480,0.84,4.2,15.49
PHerc0813,confirmation,2.0,480,3.09,9.34,30.23
PHerc1203,confirmation,0.5,480,0.23,1.36,13.93
PHerc1203,confirmation,1.0,480,0.42,1.85,4.62
PHerc1203,confirmation,1.5,480,0.69,2.28,9.63
PHerc1203,confirmation,2.0,480,2.08,7.53,20.01
PHerc1218,confirmation,0.5,480,0.37,1.91,13.84
PHerc1218,confirmation,1.0,480,0.47,3.0,13.29
PHerc1218,confirmation,1.5,480,1.04,5.63,16.36
PHerc1218,confirmation,2.0,480,2.21,8.81,26.11
PHerc1447,confirmation,0.5,480,0.34,1.36,13.69
PHerc1447,confirmation,1.0,480,0.44,1.8,5.19
PHerc1447,confirmation,1.5,480,0.84,3.93,7.73
PHerc1447,confirmation,2.0,480,2.57,7.55,17.27
PHerc1545,confirmation,0.5,480,0.32,1.61,23.83
PHerc1545,confirmation,1.0,480,0.57,2.24,12.01
PHerc1545,confirmation,1.5,480,0.82,3.84,18.2
PHerc1545,confirmation,2.0,480,2.03,7.73,27.84
