scroll,z,k,seed,variant,x,y,inside,capped,guard,seconds
PHerc0125,2140,0,20263055,as-is,5105.61865234,2895.8684082,1,0,0,1.22
PHerc0125,2140,0,20263055,no-division,5518.61865234,3348.8684082,1,0,0,1.22
PHerc0125,2140,1,20264055,as-is,5073.35839844,2945.66040039,1,0,0,1.22
PHerc0125,2140,1,20264055,no-division,5517.35839844,3341.66040039,1,0,0,1.22
PHerc0125,2140,2,20265055,as-is,5140.14794922,2961.42480469,1,0,0,1.17
PHerc0125,2140,2,20265055,no-division,5369.14794922,3303.42480469,1,0,0,1.22
PHerc0125,2140,3,20266055,as-is,5133.80859375,2958.39916992,1,0,0,1.22
PHerc0125,2140,3,20266055,no-division,5142.80859375,2971.39916992,1,0,0,1.22
PHerc0125,2140,4,20267055,as-is,5022.53222656,2930.51489258,1,0,0,1.22
PHerc0125,2140,4,20267055,no-division,5046.53222656,3088.51489258,1,0,0,1.22
PHerc0125,2140,5,20268055,as-is,5103.25244141,2915.79150391,1,0,0,1.22
PHerc0125,2140,5,20268055,no-division,5161.25244141,3076.79150391,1,0,0,1.22
PHerc0125,2140,6,20269055,as-is,5034.64648438,2932.79174805,1,0,0,1.22
PHerc0125,2140,6,20269055,no-division,5519.64648438,3344.79174805,1,0,0,1.22
PHerc0125,2140,7,20270055,as-is,5041.53417969,2993.40722656,1,0,0,1.22
PHerc0125,2140,7,20270055,no-division,5107.53417969,3037.40722656,1,0,0,1.22
PHerc0125,2140,8,20271055,as-is,4895.74707031,3896.12963867,1,0,0,1.22
PHerc0125,2140,8,20271055,no-division,5077.74707031,3062.12963867,1,0,0,1.22
PHerc0125,2140,9,20272055,as-is,5086.85107422,2969.17016602,1,0,0,1.22
PHerc0125,2140,9,20272055,no-division,5276.85107422,3336.17016602,1,0,0,1.22
PHerc0125,2140,10,20273055,as-is,5091.82958984,2950.86010742,1,0,0,1.22
PHerc0125,2140,10,20273055,no-division,5059.82958984,3083.86010742,1,0,0,1.22
PHerc0125,2140,11,20274055,as-is,5129.68652344,2926.52612305,1,0,0,1.22
PHerc0125,2140,11,20274055,no-division,5254.68652344,3314.52612305,1,0,0,1.22
PHerc0125,2140,12,20275055,as-is,5037.47070312,3022.13598633,1,0,0,1.22
PHerc0125,2140,12,20275055,no-division,5054.47070312,3090.13598633,1,0,0,1.22
PHerc0125,2140,13,20276055,as-is,5087.05273438,2967.53393555,1,0,0,1.22
PHerc0125,2140,13,20276055,no-division,5091.05273438,3051.53393555,1,0,0,1.22
PHerc0125,2140,14,20277055,as-is,4990.50488281,2943.37963867,1,0,0,1.22
PHerc0125,2140,14,20277055,no-division,5020.50488281,3055.37963867,1,0,0,1.22
PHerc0125,2140,15,20278055,as-is,5093.59277344,2961.53588867,1,0,0,1.22
PHerc0125,2140,15,20278055,no-division,5136.59277344,3064.53588867,1,0,0,1.22
PHerc0125,2140,16,20279055,as-is,5090.77734375,2900.94116211,1,0,0,1.22
PHerc0125,2140,16,20279055,no-division,5287.77734375,3333.94116211,1,0,0,1.22
PHerc0125,2140,17,20280055,as-is,5100.65771484,2950.90209961,1,0,0,1.22
PHerc0125,2140,17,20280055,no-division,5142.65771484,2970.90209961,1,0,0,1.22
