scroll,z,variant,seed,role,x,y,width,height,inside,capped,guard,seconds
PHerc0125,1667,as-is,20262582,position,4744.21,2621.17,8387.0,8387.0,1,0,0,1.17
PHerc0125,1667,no-division,20262582,position,4465.21,2998.17,8387.0,8387.0,1,0,0,1.17
PHerc0125,1667,no-division,1674,spread,5034.5,4381.08,8387.0,8387.0,1,0,0,1.17
PHerc0125,1667,no-division,125123,spread,4468.91,3006.08,8387.0,8387.0,1,0,0,1.22
PHerc0125,2428,as-is,20263343,position,5104.79,3119.58,8387.0,8387.0,1,0,0,1.22
PHerc0125,2428,no-division,20263343,position,5156.79,3171.58,8387.0,8387.0,1,0,0,1.22
PHerc0125,2428,no-division,2435,spread,5210.8,3338.66,8387.0,8387.0,1,0,0,1.22
PHerc0125,2428,no-division,125884,spread,4860.97,3474.03,8387.0,8387.0,1,0,0,1.22
PHerc0125,3189,as-is,20264104,position,5714.43,9676.73,8387.0,8387.0,0,0,0,1.22
PHerc0125,3189,no-division,20264104,position,4819.43,3092.73,8387.0,8387.0,1,0,0,1.22
PHerc0125,3189,no-division,3196,spread,4826.06,3078.63,8387.0,8387.0,1,0,0,1.22
PHerc0125,3189,no-division,126645,spread,4819.15,3142.31,8387.0,8387.0,1,0,0,1.17
PHerc0125,3950,as-is,20264865,position,4281.93,11171.61,8387.0,8387.0,0,0,0,1.17
PHerc0125,3950,no-division,20264865,position,4408.93,3723.61,8387.0,8387.0,1,0,0,1.17
PHerc0125,3950,no-division,3957,spread,4295.35,3671.8,8387.0,8387.0,1,0,0,1.22
PHerc0125,3950,no-division,127406,spread,4256.34,3569.41,8387.0,8387.0,1,0,0,1.22
PHerc0125,4711,as-is,20265626,position,2543.93,12060.37,8387.0,8387.0,0,0,0,1.22
PHerc0125,4711,no-division,20265626,position,4580.93,3520.36,8387.0,8387.0,1,0,0,1.22
PHerc0125,4711,no-division,4718,spread,4527.95,3552.82,8387.0,8387.0,1,0,0,1.22
PHerc0125,4711,no-division,128167,spread,4494.69,3950.79,8387.0,8387.0,1,0,0,1.22
PHerc0125,5472,as-is,20266387,position,2438.26,16493.07,8387.0,8387.0,0,0,0,1.22
PHerc0125,5472,no-division,20266387,position,4370.26,3847.07,8387.0,8387.0,1,0,0,1.17
PHerc0125,5472,no-division,5479,spread,4383.43,3900.95,8387.0,8387.0,1,0,0,1.17
PHerc0125,5472,no-division,128928,spread,4384.65,3913.3,8387.0,8387.0,1,0,0,1.17
PHerc0125,6233,as-is,20267148,position,1989.09,21270.76,8387.0,8387.0,0,0,0,1.22
PHerc0125,6233,no-division,20267148,position,4658.09,4139.76,8387.0,8387.0,1,0,0,1.22
PHerc0125,6233,no-division,6240,spread,4255.8,4011.32,8387.0,8387.0,1,0,0,1.22
PHerc0125,6233,no-division,129689,spread,4678.98,4143.53,8387.0,8387.0,1,0,0,1.22
PHerc0125,6994,as-is,20267909,position,49721.09,-502545.41,8387.0,8387.0,0,0,0,1.97
PHerc0125,6994,no-division,20267909,position,4483.09,4242.59,8387.0,8387.0,1,0,0,1.22
PHerc0125,6994,no-division,7001,spread,4602.49,4130.87,8387.0,8387.0,1,0,0,1.22
PHerc0125,6994,no-division,130450,spread,4498.88,4167.76,8387.0,8387.0,1,0,0,1.22
PHerc0125,7756,as-is,20268671,position,8229.75,-47137.72,8387.0,8387.0,0,0,0,1.32
PHerc0125,7756,no-division,20268671,position,4488.75,4126.28,8387.0,8387.0,1,0,0,1.22
PHerc0125,7756,no-division,7763,spread,4553.04,4335.8,8387.0,8387.0,1,0,0,1.17
PHerc0125,7756,no-division,131212,spread,4382.97,4318.17,8387.0,8387.0,1,0,0,1.22
PHerc0125,8517,as-is,20269432,position,31575.75,-262307.12,8387.0,8387.0,0,0,0,1.82
PHerc0125,8517,no-division,20269432,position,4641.75,4279.89,8387.0,8387.0,1,0,0,1.22
PHerc0125,8517,no-division,8524,spread,4430.81,4235.31,8387.0,8387.0,1,0,0,1.22
PHerc0125,8517,no-division,131973,spread,4603.34,4116.21,8387.0,8387.0,1,0,0,1.22
PHerc0125,9278,as-is,20270193,position,6047.13,-10705.94,8387.0,8387.0,0,0,0,1.22
PHerc0125,9278,no-division,20270193,position,4400.13,4161.06,8387.0,8387.0,1,0,0,1.22
PHerc0125,9278,no-division,9285,spread,4398.31,4116.49,8387.0,8387.0,1,0,0,1.22
PHerc0125,9278,no-division,132734,spread,4494.98,3984.67,8387.0,8387.0,1,0,0,1.22
PHerc0125,10039,as-is,20270954,position,6760.45,-11152.53,8387.0,8387.0,0,0,0,1.22
PHerc0125,10039,no-division,20270954,position,4244.45,3991.47,8387.0,8387.0,1,0,0,1.17
PHerc0125,10039,no-division,10046,spread,4374.68,4160.7,8387.0,8387.0,1,0,0,1.17
PHerc0125,10039,no-division,133495,spread,4217.3,4150.01,8387.0,8387.0,1,0,0,1.17
PHerc0125,10800,as-is,20271715,position,10465.44,-29890.61,8387.0,8387.0,0,0,0,1.32
PHerc0125,10800,no-division,20271715,position,4035.44,4049.39,8387.0,8387.0,1,0,0,1.22
PHerc0125,10800,no-division,10807,spread,4082.57,4087.77,8387.0,8387.0,1,0,0,1.22
PHerc0125,10800,no-division,134256,spread,4059.59,4108.15,8387.0,8387.0,1,0,0,1.22
PHerc0125,11561,as-is,20272476,position,22364.58,-88416.05,8387.0,8387.0,0,0,0,1.52
PHerc0125,11561,no-division,20272476,position,4160.58,4118.94,8387.0,8387.0,1,0,0,1.22
PHerc0125,11561,no-division,11568,spread,4394.33,4133.24,8387.0,8387.0,1,0,0,1.17
PHerc0125,11561,no-division,135017,spread,4456.18,4100.07,8387.0,8387.0,1,0,0,1.22
PHerc0125,12322,as-is,20273237,position,19334.99,-69468.52,8387.0,8387.0,0,0,0,1.47
PHerc0125,12322,no-division,20273237,position,4416.99,4205.48,8387.0,8387.0,1,0,0,1.22
PHerc0125,12322,no-division,12329,spread,4426.73,4178.77,8387.0,8387.0,1,0,0,1.22
PHerc0125,12322,no-division,135778,spread,4050.4,3994.24,8387.0,8387.0,1,0,0,1.22
PHerc0125,13083,as-is,20273998,position,11644.75,-29352.31,8387.0,8387.0,0,0,0,1.32
PHerc0125,13083,no-division,20273998,position,4184.75,4084.69,8387.0,8387.0,1,0,0,1.22
PHerc0125,13083,no-division,13090,spread,4473.93,4149.79,8387.0,8387.0,1,0,0,1.22
PHerc0125,13083,no-division,136539,spread,4502.57,4160.22,8387.0,8387.0,1,0,0,1.22
PHerc0125,13845,as-is,20274760,position,6656.31,-8498.15,8387.0,8387.0,0,0,0,1.22
PHerc0125,13845,no-division,20274760,position,4517.31,4386.85,8387.0,8387.0,1,0,0,1.22
PHerc0125,13845,no-division,13852,spread,4220.71,4229.58,8387.0,8387.0,1,0,0,1.22
PHerc0125,13845,no-division,137301,spread,4360.8,4312.16,8387.0,8387.0,1,0,0,1.22
PHerc0125,14606,as-is,20275521,position,5560.35,-4113.8,8387.0,8387.0,0,0,0,1.22
PHerc0125,14606,no-division,20275521,position,4422.35,4388.2,8387.0,8387.0,1,0,0,1.17
PHerc0125,14606,no-division,14613,spread,4477.3,4363.88,8387.0,8387.0,1,0,0,1.22
PHerc0125,14606,no-division,138062,spread,4564.24,4370.23,8387.0,8387.0,1,0,0,1.22
PHerc0125,15367,as-is,20276282,position,6469.02,-9424.93,8387.0,8387.0,0,0,0,1.27
PHerc0125,15367,no-division,20276282,position,4088.02,4325.07,8387.0,8387.0,1,0,0,1.22
PHerc0125,15367,no-division,15374,spread,4257.18,4082.39,8387.0,8387.0,1,0,0,1.22
PHerc0125,15367,no-division,138823,spread,4461.27,4279.91,8387.0,8387.0,1,0,0,1.17
PHerc0125,16128,as-is,20277043,position,5783.19,-8870.8,8387.0,8387.0,0,0,0,1.22
PHerc0125,16128,no-division,20277043,position,4149.19,4259.2,8387.0,8387.0,1,0,0,1.22
PHerc0125,16128,no-division,16135,spread,4167.11,4258.54,8387.0,8387.0,1,0,0,1.22
PHerc0125,16128,no-division,139584,spread,4268.98,4268.81,8387.0,8387.0,1,0,0,1.22
PHerc0125,16889,as-is,20277804,position,4615.03,-1512.86,8387.0,8387.0,0,0,0,1.22
PHerc0125,16889,no-division,20277804,position,4576.03,4294.14,8387.0,8387.0,1,0,0,1.22
