scroll,variant,median_py_mm,median_cpp_mm,delta_mm,ci_py,ci_cpp,cpp_in_py_ci,py_in_cpp_ci,flags_equal,inside_transcription,inside_shipped,margin_py_mm,margin_cpp_mm,agree,moves_a_verdict
PHerc0125,as-is,133.02,136.59,3.57,107.99..190.24,109.25..203.05,1,1,1,39/480,39/480,-130.54,-134.11,1,
PHerc0125,no-division,1.59,1.59,0.0,1.15..2.17,1.16..2.15,1,1,1,480/480,480/480,0.89,0.9,1,
PHerc0191,as-is,6.28,6.26,-0.02,4.39..8.5,4.43..8.36,1,1,1,480/480,480/480,0.14,0.16,1,
PHerc0191,no-division,4.15,4.31,0.16,2.64..6.03,2.83..5.71,1,1,1,480/480,480/480,2.27,2.11,1,
PHerc0211,as-is,63.81,63.63,-0.18,45.21..95.6,44.82..96.75,1,1,1,220/480,220/480,-60.99,-60.81,1,
PHerc0211,no-division,1.47,1.37,-0.1,0.98..2.38,0.89..2.14,1,1,1,480/480,480/480,1.36,1.46,1,
PHerc0257,as-is,8.37,9.34,0.97,2.75..31.17,2.94..31.33,1,1,1,428/480,424/480,-4.66,-5.63,1,
PHerc0257,no-division,1.87,1.73,-0.14,1.26..2.72,1.24..2.76,1,1,1,480/480,480/480,1.84,1.97,1,
PHerc0268,as-is,8.27,9.38,1.11,5.63..11.05,6.06..11.59,1,1,0,447/480,450/480,2.83,1.72,0,the interval of the margin comes to include zero
PHerc0268,no-division,4.32,4.44,0.12,2.69..5.87,2.87..5.83,1,1,1,480/480,480/480,6.78,6.66,1,
PHerc0332,as-is,0.35,0.35,0.0,0.28..0.41,0.28..0.41,1,1,1,460/480,460/480,0.42,0.42,1,
PHerc0332,no-division,0.36,0.37,0.01,0.3..0.42,0.28..0.43,1,1,1,480/480,480/480,0.4,0.39,1,
PHerc0358,as-is,8.46,9.06,0.6,3.92..97.85,3.95..95.04,1,1,1,280/480,280/480,-3.57,-4.16,1,
PHerc0358,no-division,2.89,2.76,-0.13,1.74..3.86,1.58..3.79,1,1,1,480/480,480/480,2.01,2.14,1,
PHerc0800,as-is,5.29,5.16,-0.13,3.49..36.18,3.57..35.3,1,1,1,352/480,349/480,1.35,1.47,1,
PHerc0800,no-division,2.68,2.68,0.0,1.73..3.83,1.77..3.85,1,1,1,480/480,480/480,3.96,3.95,1,
PHerc0813,as-is,10.49,10.46,-0.03,7.1..12.45,7.61..12.21,1,1,0,440/480,440/480,-2.9,-2.87,0,
PHerc0813,no-division,7.11,7.29,0.18,4.42..9.33,4.73..9.26,1,1,1,480/480,480/480,0.48,0.3,1,
PHerc0826,as-is,53.21,53.13,-0.08,40.75..66.12,40.71..67.07,1,1,1,159/480,158/480,-49.7,-49.63,1,
PHerc0826,no-division,4.27,4.29,0.02,3.03..5.44,2.9..5.7,1,1,1,480/480,480/480,-0.76,-0.78,1,
PHerc1203,as-is,4.8,5.11,0.31,1.46..34.91,1.45..35.72,1,1,1,330/480,330/480,-0.41,-0.73,1,
PHerc1203,no-division,1.44,1.48,0.04,0.98..1.77,1.0..1.88,1,1,1,480/480,480/480,2.94,2.91,1,
PHerc1218,as-is,104.09,101.98,-2.11,82.99..150.9,84.08..151.36,1,1,1,23/480,21/480,-101.94,-99.83,1,
PHerc1218,no-division,2.47,2.39,-0.08,1.66..3.89,1.62..3.63,1,1,1,480/480,480/480,-0.32,-0.24,1,the margin crosses the threshold downwards
PHerc1447,as-is,38.57,39.81,1.24,28.75..55.24,28.03..54.15,1,1,1,248/480,245/480,-35.4,-36.64,1,
PHerc1447,no-division,1.76,1.85,0.09,1.15..2.56,1.23..2.79,1,1,1,480/480,480/480,1.41,1.33,1,
PHerc1545,as-is,49.55,49.49,-0.06,17.68..68.47,17.33..72.71,1,1,1,200/480,200/480,-47.15,-47.09,1,
PHerc1545,no-division,1.87,1.87,0.0,1.24..3.38,1.33..3.25,1,1,1,480/480,480/480,0.53,0.53,1,
PHercParis4,as-is,4.25,4.36,0.11,1.47..26.57,1.44..26.48,1,1,1,378/480,377/480,-0.86,-0.98,1,
PHercParis4,no-division,1.13,1.16,0.03,0.83..1.48,0.91..1.52,1,1,1,480/480,480/480,2.25,2.23,1,
