scroll,z,segments,sector_counts,sector_ratio,dominant_half_fraction,centroid_minus_ref_x_mm,centroid_minus_ref_y_mm,centroid_minus_ref_mm,estimate_minus_ref_x_mm,estimate_minus_ref_y_mm,estimate_minus_ref_mm,cosine,same_half_plane
PHerc0125,2140,22904,1559 1228 1042 1683 4165 6544 3026 3657,6.28,0.759,0.99,8.09,8.15,-0.06,0.57,0.58,0.976,1
PHerc0125,2932,26545,3914 1678 1006 2502 5198 3866 3917 4464,5.17,0.657,-1.6,4.75,5.02,-0.14,0.76,0.77,0.989,1
PHerc0125,3724,33709,3250 2606 2631 4436 6023 3667 3485 7611,2.92,0.617,-0.62,3.27,3.33,1.48,1.1,1.84,0.434,1
PHerc0125,4516,36689,5757 3983 3579 4643 7346 3562 2311 5508,3.18,0.533,0.35,-0.49,0.6,1.66,-4.26,4.57,0.97,1
PHerc0125,5308,38851,6510 3553 2605 5563 8273 3425 2046 6876,4.04,0.531,0.31,0.31,0.44,1.41,-0.48,1.49,0.445,1
PHerc0125,6100,36941,6816 3602 2300 7383 6860 2628 1778 5574,4.15,0.545,0.35,-1.33,1.37,1.76,0.18,1.77,0.153,1
PHerc0125,6891,36364,8894 3137 1787 7364 6916 2113 1432 4721,6.21,0.582,-0.45,-2.06,2.11,2.0,-1.43,2.46,0.396,1
PHerc0125,7683,33723,9360 2495 1647 5722 6035 2125 1492 4847,6.27,0.57,-2.66,-1.79,3.2,-1.9,-2.72,3.32,0.932,1
PHerc0125,8475,35399,10196 2261 1803 6893 5714 2240 1632 4660,6.25,0.598,-2.3,-1.86,2.96,3.08,-1.13,3.28,-0.512,0
PHerc0125,9267,37089,9471 2095 1731 6920 7335 2417 1866 5254,5.47,0.545,-0.77,-0.73,1.06,1.67,-0.82,1.86,-0.346,0
PHerc0125,10059,33555,8935 1978 1473 5753 6815 2361 1678 4562,6.07,0.541,-1.04,-0.7,1.25,-0.78,-0.13,0.79,0.91,1
PHerc0125,10851,33313,8440 2488 1633 5062 6640 2665 1776 4609,5.17,0.529,-1.3,-0.49,1.39,3.09,0.27,3.1,-0.962,0
PHerc0125,11643,32179,6624 2470 1849 5169 7380 2769 1633 4285,4.52,0.533,0.66,0.31,0.73,1.19,0.04,1.19,0.918,1
PHerc0125,12435,32830,6621 2307 1599 4712 8261 2593 2087 4650,5.17,0.538,1.17,0.76,1.39,-1.05,-0.04,1.05,-0.858,0
PHerc0125,13227,33670,6629 1793 1905 4810 8261 3251 2086 4935,4.61,0.55,1.22,1.24,1.74,0.71,-0.37,0.81,0.293,1
PHerc0125,14019,37234,7095 2164 2135 6955 8499 3715 2040 4631,4.17,0.572,2.46,0.23,2.47,0.65,-0.21,0.69,0.916,1
PHerc0125,14811,36333,6717 2813 3034 6665 6538 3472 2474 4620,2.72,0.542,1.22,-0.55,1.33,2.0,-0.44,2.05,0.979,1
PHerc0125,15603,33234,6359 2794 3006 6677 3966 3411 2615 4406,2.55,0.567,-0.05,-1.06,1.06,0.47,-0.51,0.69,0.708,1
PHerc0125,16394,32888,4180 2529 3134 6905 6563 3541 2749 3287,2.73,0.612,3.89,-0.17,3.89,2.81,-0.87,2.94,0.968,1
PHerc0125,17186,32624,4402 2932 4159 3847 7649 3346 2722 3567,2.81,0.582,2.79,-0.31,2.81,2.22,-2.42,3.28,0.752,1
PHerc0125,17978,29738,3810 2828 3647 3836 5458 3322 2932 3905,1.93,0.547,2.23,0.67,2.33,-0.22,-1.1,1.12,-0.466,0
PHerc0125,18770,34245,3128 2931 3667 6015 7819 4146 2737 3802,2.86,0.632,5.01,0.8,5.08,2.71,-0.83,2.84,0.897,1
