scroll,slices,sector_ratio_median,dominant_half_fraction_median,centroid_minus_ref_median_mm,estimate_minus_ref_median_mm,cosine_median,same_half_plane_fraction,block,no_division_mm_table,centroid_mm_table,margin_vs_centroid_mm_table
PHerc0125,24,4.16,0.558,1.92,1.85,0.825,0.792,primary,1.59,2.48,0.89
PHerc0211,24,3.47,0.607,2.56,1.02,0.776,0.792,primary,1.47,2.83,1.36
PHerc0332,24,1.71,0.552,0.81,0.37,0.766,0.833,primary,0.36,0.77,0.4
PHerc0826,24,6.38,0.637,2.93,4.25,0.707,0.833,primary,4.27,3.51,-0.76
PHercParis4,24,3.05,0.605,3.63,1.24,0.75,0.833,primary,1.13,3.39,2.25
PHerc0191,24,2.83,0.615,4.54,2.84,0.795,0.833,confirmation,4.15,6.42,2.27
PHerc0257,24,3.08,0.595,3.02,1.42,0.841,0.75,confirmation,1.87,3.71,1.84
PHerc0268,24,2.95,0.621,8.41,4.9,0.796,0.875,confirmation,4.32,11.1,6.78
PHerc0358,24,5.7,0.646,4.57,2.9,0.738,0.792,confirmation,2.89,4.9,2.01
PHerc0800,24,4.25,0.629,5.39,2.67,0.854,0.875,confirmation,2.68,6.63,3.96
PHerc0813,24,3.59,0.675,6.36,6.27,0.948,0.958,confirmation,7.11,7.59,0.48
PHerc1203,24,2.95,0.605,3.53,1.22,0.418,0.708,confirmation,1.44,4.38,2.94
PHerc1218,24,4.08,0.552,1.58,1.8,0.74,0.75,confirmation,2.47,2.15,-0.32
PHerc1447,24,3.75,0.579,2.35,1.55,0.171,0.542,confirmation,1.76,3.18,1.41
PHerc1545,24,4.67,0.566,1.65,1.67,0.118,0.542,confirmation,1.87,2.4,0.53
