section,p,distance_units,lambda_max,mean,mean_rel_gap,mean_gap_divided_by,sum_over_max,sum_divided_by,expected_sum_divided_by
PHerc0826 xy 8000,0.5,1e+06,0.646588,0.646356,3.580e-04,,3.561e-02,,3.162e+00
PHerc0826 xy 8000,0.5,1e+07,0.646588,0.646564,3.574e-05,10.02,1.126e-02,3.161e+00,3.162e+00
PHerc0826 xy 8000,0.5,1e+08,0.646588,0.646585,3.574e-06,10.00,3.562e-03,3.162e+00,3.162e+00
PHerc0826 xy 8000,0.5,1e+09,0.646588,0.646587,3.574e-07,10.00,1.126e-03,3.162e+00,3.162e+00
PHerc0826 xy 8000,1.0,1e+06,0.646588,0.646312,4.259e-04,,1.167e-03,,1.000e+01
PHerc0826 xy 8000,1.0,1e+07,0.646588,0.64656,4.253e-05,10.01,1.167e-04,9.997e+00,1.000e+01
PHerc0826 xy 8000,1.0,1e+08,0.646588,0.646585,4.252e-06,10.00,1.167e-05,1.000e+01,1.000e+01
PHerc0826 xy 8000,1.0,1e+09,0.646588,0.646587,4.252e-07,10.00,1.167e-06,1.000e+01,1.000e+01
PHerc0826 xy 8000,1.5,1e+06,0.646588,0.646268,4.937e-04,,3.273e-05,,3.162e+01
PHerc0826 xy 8000,1.5,1e+07,0.646588,0.646556,4.931e-05,10.01,1.035e-06,3.161e+01,3.162e+01
PHerc0826 xy 8000,1.5,1e+08,0.646588,0.646584,4.930e-06,10.00,3.274e-08,3.162e+01,3.162e+01
PHerc0826 xy 8000,1.5,1e+09,0.646588,0.646587,4.930e-07,10.00,1.035e-09,3.162e+01,3.162e+01
PHerc0826 xy 8000,2.0,1e+06,0.646588,0.646224,5.616e-04,,7.192e-07,,1.000e+02
PHerc0826 xy 8000,2.0,1e+07,0.646588,0.646551,5.609e-05,10.01,7.194e-09,9.998e+01,1.000e+02
PHerc0826 xy 8000,2.0,1e+08,0.646588,0.646584,5.608e-06,10.00,7.194e-11,1.000e+02,1.000e+02
PHerc0826 xy 8000,2.0,1e+09,0.646588,0.646587,5.608e-07,10.00,7.194e-13,1.000e+02,1.000e+02
PHerc0826 xy 8000,4.0,1e+06,0.646588,0.646049,8.326e-04,,2.355e-14,,1.000e+04
PHerc0826 xy 8000,4.0,1e+07,0.646588,0.646534,8.322e-05,10.01,2.356e-18,9.998e+03,1.000e+04
PHerc0826 xy 8000,4.0,1e+08,0.646588,0.646582,8.321e-06,10.00,2.356e-22,1.000e+04,1.000e+04
PHerc0826 xy 8000,4.0,1e+09,0.646588,0.646587,8.321e-07,10.00,2.356e-26,1.000e+04,1.000e+04
circle 1:1,0.5,1e+06,0.502598,0.502593,9.528e-06,,2.278e-02,,3.162e+00
circle 1:1,0.5,1e+07,0.502598,0.502598,9.098e-07,10.47,7.202e-03,3.162e+00,3.162e+00
circle 1:1,0.5,1e+08,0.502598,0.502598,9.055e-08,10.05,2.278e-03,3.162e+00,3.162e+00
circle 1:1,0.5,1e+09,0.502598,0.502598,9.051e-09,10.00,7.202e-04,3.162e+00,3.162e+00
circle 1:1,1.0,1e+06,0.502598,0.50259,1.544e-05,,9.545e-04,,1.000e+01
circle 1:1,1.0,1e+07,0.502598,0.502597,1.490e-06,10.37,9.545e-05,1.000e+01,1.000e+01
circle 1:1,1.0,1e+08,0.502598,0.502598,1.484e-07,10.04,9.545e-06,1.000e+01,1.000e+01
circle 1:1,1.0,1e+09,0.502598,0.502598,1.484e-08,10.00,9.545e-07,1.000e+01,1.000e+01
circle 1:1,1.5,1e+06,0.502598,0.502587,2.096e-05,,3.527e-05,,3.162e+01
circle 1:1,1.5,1e+07,0.502598,0.502597,2.065e-06,10.15,1.115e-06,3.162e+01,3.162e+01
circle 1:1,1.5,1e+08,0.502598,0.502598,2.062e-07,10.01,3.527e-08,3.162e+01,3.162e+01
circle 1:1,1.5,1e+09,0.502598,0.502598,2.062e-08,10.00,1.115e-09,3.162e+01,3.162e+01
circle 1:1,2.0,1e+06,0.502598,0.502585,2.606e-05,,1.046e-06,,1.000e+02
circle 1:1,2.0,1e+07,0.502598,0.502597,2.637e-06,9.88,1.046e-08,1.000e+02,1.000e+02
circle 1:1,2.0,1e+08,0.502598,0.502598,2.640e-07,9.99,1.046e-10,1.000e+02,1.000e+02
circle 1:1,2.0,1e+09,0.502598,0.502598,2.640e-08,10.00,1.046e-12,1.000e+02,1.000e+02
circle 1:1,4.0,1e+06,0.502598,0.502577,4.242e-05,,4.714e-14,,1.000e+04
circle 1:1,4.0,1e+07,0.502598,0.502596,4.883e-06,8.69,4.714e-18,1.000e+04,1.000e+04
circle 1:1,4.0,1e+08,0.502598,0.502598,4.947e-07,9.87,4.714e-22,1.000e+04,1.000e+04
circle 1:1,4.0,1e+09,0.502598,0.502598,4.953e-08,9.99,4.714e-26,1.000e+04,1.000e+04
half circle,0.5,1e+06,0.502017,0.501792,4.493e-04,,2.237e-02,,3.162e+00
half circle,0.5,1e+07,0.502017,0.501995,4.490e-05,10.01,7.073e-03,3.163e+00,3.162e+00
half circle,0.5,1e+08,0.502017,0.502015,4.490e-06,10.00,2.237e-03,3.162e+00,3.162e+00
half circle,0.5,1e+09,0.502017,0.502017,4.490e-07,10.00,7.073e-04,3.162e+00,3.162e+00
half circle,1.0,1e+06,0.502017,0.50197,9.398e-05,,8.916e-04,,1.000e+01
half circle,1.0,1e+07,0.502017,0.502013,9.338e-06,10.06,8.908e-05,1.001e+01,1.000e+01
half circle,1.0,1e+08,0.502017,0.502017,9.332e-07,10.01,8.907e-06,1.000e+01,1.000e+01
half circle,1.0,1e+09,0.502017,0.502017,9.332e-08,10.00,8.907e-07,1.000e+01,1.000e+01
half circle,1.5,1e+06,0.502017,0.502148,2.613e-04,,2.954e-05,,3.162e+01
half circle,1.5,1e+07,0.502017,0.50203,2.622e-05,9.97,9.326e-07,3.168e+01,3.162e+01
half circle,1.5,1e+08,0.502017,0.502019,2.623e-06,10.00,2.949e-08,3.163e+01,3.162e+01
half circle,1.5,1e+09,0.502017,0.502017,2.623e-07,10.00,9.325e-10,3.162e+01,3.162e+01
half circle,2.0,1e+06,0.502017,0.502327,6.166e-04,,7.150e-07,,1.000e+02
half circle,2.0,1e+07,0.502017,0.502048,6.179e-05,9.98,7.132e-09,1.003e+02,1.000e+02
half circle,2.0,1e+08,0.502017,0.50202,6.180e-06,10.00,7.130e-11,1.000e+02,1.000e+02
half circle,2.0,1e+09,0.502017,0.502018,6.180e-07,10.00,7.130e-13,1.000e+02,1.000e+02
half circle,4.0,1e+06,0.502017,0.50304,2.038e-03,,2.293e-14,,1.000e+04
half circle,4.0,1e+07,0.502017,0.50212,2.040e-04,9.99,2.279e-18,1.006e+04,1.000e+04
half circle,4.0,1e+08,0.502017,0.502028,2.041e-05,10.00,2.278e-22,1.001e+04,1.000e+04
half circle,4.0,1e+09,0.502017,0.502018,2.041e-06,10.00,2.278e-26,1.000e+04,1.000e+04
