section,p,n_samples,seed,lambda_max,lambda_min,mean_at_centre,mean_far,mean_far_over_lambda_max,mean_far_rel_gap,sum_max_on_ray,sum_at_max_distance_units,sum_far,sum_far_over_max,far_distance_units
PHerc0826 xy 8000,0.5,10000,20268915,0.646588,0.353412,0.601729,0.646356,0.999642,3.580e-04,1.815354e+02,415.6,6.464023e+00,3.561e-02,1000000.0
PHerc0826 xy 8000,1.0,10000,20268915,0.646588,0.353412,0.582225,0.646312,0.999574,4.259e-04,5.540803e+00,352.2,6.464048e-03,1.167e-03,1000000.0
PHerc0826 xy 8000,1.5,10000,20268915,0.646588,0.353412,0.556199,0.646268,0.999506,4.937e-04,1.975186e-01,167.1,6.464075e-06,3.273e-05,1000000.0
PHerc0826 xy 8000,2.0,10000,20268915,0.646588,0.353412,0.531051,0.646224,0.999438,5.616e-04,8.988089e-03,10.0,6.464103e-09,7.192e-07,1000000.0
PHerc0826 xy 8000,4.0,10000,20268915,0.646588,0.353412,0.517075,0.646049,0.999167,8.326e-04,2.744419e-07,1325.3,6.464227e-21,2.355e-14,1000000.0
circle 1:1,0.5,10000,60000,0.502598,0.497402,1.0,0.502593,0.99999,9.528e-06,2.206699e+02,12.8,5.025909e+00,2.278e-02,1000000.0
circle 1:1,1.0,10000,60000,0.502598,0.497402,1.0,0.50259,0.999985,1.544e-05,5.265429e+00,48.2,5.025860e-03,9.545e-04,1000000.0
circle 1:1,1.5,10000,60000,0.502598,0.497402,1.0,0.502587,0.999979,2.096e-05,1.425073e-01,197.2,5.025817e-06,3.527e-05,1000000.0
circle 1:1,2.0,10000,60000,0.502598,0.497402,1.0,0.502585,0.999974,2.606e-05,4.804112e-03,214.3,5.025781e-09,1.046e-06,1000000.0
circle 1:1,4.0,10000,60000,0.502598,0.497402,1.0,0.502577,0.999958,4.242e-05,1.066155e-07,1699.1,5.025694e-21,4.714e-14,1000000.0
half circle,0.5,10000,60000,0.502017,0.497983,1.0,0.501792,0.999551,4.493e-04,2.244523e+02,197.2,5.020736e+00,2.237e-02,1000000.0
half circle,1.0,10000,60000,0.502017,0.497983,1.0,0.50197,0.999906,9.398e-05,5.636241e+00,232.8,5.025345e-03,8.916e-04,1000000.0
half circle,1.5,10000,60000,0.502017,0.497983,1.0,0.502148,1.000261,2.613e-04,1.702525e-01,578.9,5.029959e-06,2.954e-05,1000000.0
half circle,2.0,10000,60000,0.502017,0.497983,1.0,0.502327,1.000617,6.166e-04,7.041268e-03,875.9,5.034579e-09,7.150e-07,1000000.0
half circle,4.0,10000,60000,0.502017,0.497983,1.0,0.50304,1.002038,2.038e-03,2.203884e-07,2366.5,5.053120e-21,2.293e-14,1000000.0
