scroll,z,k,seed,p,x,y,inside,capped
PHerc0332,698,0,20261613,0.5,1819.9376377438118,1945.4904065620963,1,0
PHerc0332,698,0,20261613,1.0,1440.9376377438118,2094.4904065620963,1,0
PHerc0332,698,0,20261613,1.5,726.9376377438118,1702.4904065620963,1,0
PHerc0332,698,0,20261613,2.0,2798.937637743812,1731.4904065620963,1,0
PHerc0332,698,1,20262613,0.5,1818.7283474998799,1946.2668519452857,1,0
PHerc0332,698,1,20262613,1.0,1805.7283474998799,1861.2668519452857,1,0
PHerc0332,698,1,20262613,1.5,2473.72834749988,2706.2668519452855,1,0
PHerc0332,698,1,20262613,2.0,1489.7283474998799,942.2668519452857,1,0
PHerc0332,698,2,20263613,0.5,1815.3540753902034,1946.6240683595925,1,0
PHerc0332,698,2,20263613,1.0,2244.3540753902034,2108.6240683595925,1,0
PHerc0332,698,2,20263613,1.5,2571.3540753902034,1319.6240683595925,1,0
PHerc0332,698,2,20263613,2.0,1140.3540753902034,2942.6240683595925,1,0
PHerc0332,698,3,20264613,0.5,1816.4480229369776,1946.1529489908248,1,0
PHerc0332,698,3,20264613,1.0,2242.4480229369774,2112.152948990825,1,0
PHerc0332,698,3,20264613,1.5,2801.4480229369774,1751.1529489908248,1,0
PHerc0332,698,3,20264613,2.0,2802.4480229369774,1751.1529489908248,1,0
PHerc0332,698,4,20265613,0.5,1823.6190100207564,1944.7775481020533,1,0
PHerc0332,698,4,20265613,1.0,1820.6190100207564,1765.7775481020533,1,0
PHerc0332,698,4,20265613,1.5,729.6190100207564,1701.7775481020533,1,0
PHerc0332,698,4,20265613,2.0,2659.6190100207564,2613.7775481020535,1,0
PHerc0332,698,5,20266613,0.5,1828.4555279098195,1943.8129176352377,1,0
PHerc0332,698,5,20266613,1.0,1806.4555279098195,1860.8129176352377,1,0
PHerc0332,698,5,20266613,1.5,571.4555279098195,1901.8129176352377,1,0
PHerc0332,698,5,20266613,2.0,1352.4555279098195,2910.8129176352377,1,0
PHerc0332,698,6,20267613,0.5,1826.2840801014738,1951.717001170847,1,0
PHerc0332,698,6,20267613,1.0,1823.2840801014738,1771.717001170847,1,0
PHerc0332,698,6,20267613,1.5,2255.2840801014736,1058.717001170847,1,0
PHerc0332,698,6,20267613,2.0,2263.2840801014736,1059.717001170847,1,0
PHerc0332,698,7,20268613,0.5,1825.2087242616162,1955.2105861479927,1,0
PHerc0332,698,7,20268613,1.0,1806.2087242616162,1861.2105861479927,1,0
PHerc0332,698,7,20268613,1.5,730.2087242616162,1701.2105861479927,1,0
PHerc0332,698,7,20268613,2.0,729.2087242616162,1702.2105861479927,1,0
PHerc0332,698,8,20269613,0.5,1826.368987547424,1982.1259352598645,1,0
PHerc0332,698,8,20269613,1.0,2242.368987547424,2107.1259352598645,1,0
PHerc0332,698,8,20269613,1.5,2263.368987547424,1061.1259352598645,1,0
PHerc0332,698,8,20269613,2.0,2799.368987547424,1742.1259352598645,1,0
PHerc0332,698,9,20270613,0.5,1818.6440569272177,1946.138700752251,1,0
PHerc0332,698,9,20270613,1.0,1814.6440569272177,1754.138700752251,1,0
PHerc0332,698,9,20270613,1.5,569.6440569272177,1906.138700752251,1,0
PHerc0332,698,9,20270613,2.0,1535.6440569272177,898.138700752251,1,0
PHerc0332,698,10,20271613,0.5,1824.6411500358765,1957.5831063446249,1,0
PHerc0332,698,10,20271613,1.0,2422.6411500358763,2655.583106344625,1,0
PHerc0332,698,10,20271613,1.5,1404.6411500358765,1145.5831063446249,1,0
PHerc0332,698,10,20271613,2.0,1375.6411500358765,1153.5831063446249,1,0
PHerc0332,698,11,20272613,0.5,1819.3530874165197,1945.7649141931188,1,0
PHerc0332,698,11,20272613,1.0,1805.3530874165197,1860.7649141931188,1,0
PHerc0332,698,11,20272613,1.5,572.3530874165197,1901.7649141931188,1,0
PHerc0332,698,11,20272613,2.0,947.3530874165197,1348.7649141931188,1,0
PHerc0332,698,12,20273613,0.5,1819.7917682509567,1945.6707952391932,1,0
PHerc0332,698,12,20273613,1.0,1805.7917682509567,1860.6707952391932,1,0
PHerc0332,698,12,20273613,1.5,2260.791768250957,1060.6707952391932,1,0
PHerc0332,698,12,20273613,2.0,2263.791768250957,1060.6707952391932,1,0
PHerc0332,698,13,20274613,0.5,1821.6908465997835,1945.6066780496146,1,0
PHerc0332,698,13,20274613,1.0,1805.6908465997835,1860.6066780496146,1,0
PHerc0332,698,13,20274613,1.5,590.6908465997835,2277.606678049615,1,0
PHerc0332,698,13,20274613,2.0,2802.6908465997835,1400.6066780496146,1,0
