section,p,distance_units,weighted_sum,weighted_mean
f1 spiral,0.5,10.0,151.13772392101635,0.9746060293126994
f1 spiral,0.5,10.864,151.1212832527662,0.9744458260294241
f1 spiral,0.5,11.802,151.10311441207884,0.9742694555718384
f1 spiral,0.5,12.821,151.08301218438805,0.9740750986171227
f1 spiral,0.5,13.928,151.06074342993674,0.9738607016437694
f1 spiral,0.5,15.131,151.0360427990173,0.9736239425702312
f1 spiral,0.5,16.437,151.00860772926393,0.9733621908052013
f1 spiral,0.5,17.857,150.9780925971232,0.9730724607321376
f1 spiral,0.5,19.399,150.94410187171965,0.9727513574700068
f1 spiral,0.5,21.074,150.9061820907133,0.97239501353637
f1 spiral,0.5,22.894,150.86381244342687,0.971999014780505
f1 spiral,0.5,24.87,150.81639370527932,0.9715583136442044
f1 spiral,0.5,27.018,150.76323521788078,0.9710671274350361
f1 spiral,0.5,29.351,150.70353954914543,0.9705188188473516
f1 spiral,0.5,31.886,150.63638439509856,0.9699057554228261
f1 spiral,0.5,34.639,150.5607011967247,0.9692191439830575
f1 spiral,0.5,37.63,150.47524983745512,0.9684488352641503
f1 spiral,0.5,40.88,150.37858865490477,0.9675830930020797
f1 spiral,0.5,44.41,150.2690388380271,0.9666083205126842
f1 spiral,0.5,48.245,150.14464207986703,0.9655087363224607
f1 spiral,0.5,52.411,150.00311010592415,0.9642659885586619
f1 spiral,0.5,56.937,149.841764384638,0.96285869549668
f1 spiral,0.5,61.854,149.6574639306482,0.9612618967511497
f1 spiral,0.5,67.195,149.446518607303,0.9594463958958865
f1 spiral,0.5,72.998,149.20458468649753,0.9573779705454049
f1 spiral,0.5,79.301,148.92653858088815,0.9550164197593639
f1 spiral,0.5,86.149,148.60632355381983,0.9523144105134514
f1 spiral,0.5,93.589,148.23676273107995,0.9492160741449628
f1 spiral,0.5,101.67,147.80932973020668,0.9456552889774874
f1 spiral,0.5,110.45,147.3138654512304,0.9415535649971488
f1 spiral,0.5,119.988,146.73822566981767,0.9368174177334754
f1 spiral,0.5,130.349,146.06783845225897,0.931335076939697
f1 spiral,0.5,141.605,145.28514210354655,0.9249723138587069
f1 spiral,0.5,153.833,144.36886171473628,0.9175670760197165
f1 spiral,0.5,167.117,143.29306246988432,0.9089224676949379
f1 spiral,0.5,181.549,142.02588529009574,0.8987973642634492
f1 spiral,0.5,197.226,140.52781457105309,0.8868935144718562
f1 spiral,0.5,214.257,138.7492268293492,0.8728371863211251
f1 spiral,0.5,232.759,136.62677426852667,0.8561518429040781
f1 spiral,0.5,252.859,134.07774994575027,0.8362149841893141
f1 spiral,0.5,274.694,130.99063829362157,0.8121843543759604
f1 spiral,0.5,298.415,127.20755755243013,0.7828571496194824
f1 spiral,0.5,324.184,121.9257494090496,0.7459682030725514
f1 spiral,0.5,352.178,114.51055574777236,0.6993669000519603
f1 spiral,0.5,382.59,104.74852053781117,0.6406269267482337
f1 spiral,0.5,415.628,99.55601594865554,0.6115932578119154
f1 spiral,0.5,451.519,101.52492167093305,0.6286956565563045
f1 spiral,0.5,490.51,102.34259048880699,0.6420893986214676
f1 spiral,0.5,532.867,100.52747887196095,0.6468003276125558
f1 spiral,0.5,578.882,97.78138843341125,0.6453025286441754
f1 spiral,0.5,628.87,94.5574667102875,0.6388227218068123
f1 spiral,0.5,683.176,90.82958142553133,0.6270693342799376
