scroll,block,p,n,spread_median_mm,spread_p90_mm,spread_worst_mm
PHerc0125,primary,0.5,480,0.51,2.54,30.2
PHerc0125,primary,1.0,480,0.78,2.48,6.15
PHerc0125,primary,1.5,480,1.68,4.46,17.53
PHerc0125,primary,2.0,480,4.19,12.7,22.22
PHerc0211,primary,0.5,480,0.27,0.9,10.31
PHerc0211,primary,1.0,480,0.34,1.96,10.64
PHerc0211,primary,1.5,480,0.64,3.83,15.73
PHerc0211,primary,2.0,480,1.55,8.13,26.99
PHerc0332,primary,0.5,480,0.01,0.02,2.66
PHerc0332,primary,1.0,480,0.02,0.06,3.25
PHerc0332,primary,1.5,480,0.03,0.15,3.6
PHerc0332,primary,2.0,480,0.04,0.39,4.28
PHerc0826,primary,0.5,480,0.41,3.13,14.98
PHerc0826,primary,1.0,480,0.73,4.93,13.46
PHerc0826,primary,1.5,480,1.91,7.14,19.94
PHerc0826,primary,2.0,480,4.53,13.3,27.31
PHercParis4,primary,0.5,480,0.23,0.9,21.24
PHercParis4,primary,1.0,480,0.72,1.73,13.73
PHercParis4,primary,1.5,480,2.42,6.69,26.71
PHercParis4,primary,2.0,480,3.49,7.64,29.42
PHerc0191,confirmation,0.5,480,0.42,1.92,13.05
PHerc0191,confirmation,1.0,480,0.81,5.52,13.65
PHerc0191,confirmation,1.5,480,1.72,7.72,21.14
PHerc0191,confirmation,2.0,480,3.93,16.52,32.45
PHerc0257,confirmation,0.5,480,0.26,1.02,11.78
PHerc0257,confirmation,1.0,480,0.41,1.85,10.02
PHerc0257,confirmation,1.5,480,0.73,4.18,11.27
PHerc0257,confirmation,2.0,480,2.98,10.4,22.07
PHerc0268,confirmation,0.5,480,0.93,3.03,7.79
PHerc0268,confirmation,1.0,480,1.33,4.54,41.74
PHerc0268,confirmation,1.5,480,2.73,13.83,43.69
PHerc0268,confirmation,2.0,480,6.79,23.17,47.53
PHerc0358,confirmation,0.5,480,0.35,1.62,7.57
PHerc0358,confirmation,1.0,480,0.42,3.87,15.76
PHerc0358,confirmation,1.5,480,1.13,8.3,26.04
PHerc0358,confirmation,2.0,480,3.05,12.15,28.55
PHerc0800,confirmation,0.5,480,0.43,1.5,11.01
PHerc0800,confirmation,1.0,480,0.85,2.55,10.57
PHerc0800,confirmation,1.5,480,1.64,6.24,24.45
PHerc0800,confirmation,2.0,480,4.59,14.4,28.92
PHerc0813,confirmation,0.5,480,0.33,1.34,6.78
PHerc0813,confirmation,1.0,480,0.8,3.56,14.57
PHerc0813,confirmation,1.5,480,1.09,4.85,16.52
PHerc0813,confirmation,2.0,480,3.21,9.78,27.79
PHerc1203,confirmation,0.5,480,0.27,3.13,13.94
PHerc1203,confirmation,1.0,480,0.39,1.64,5.48
PHerc1203,confirmation,1.5,480,0.74,2.84,10.95
PHerc1203,confirmation,2.0,480,2.23,7.71,22.11
PHerc1218,confirmation,0.5,480,0.39,1.83,14.07
PHerc1218,confirmation,1.0,480,0.41,2.35,14.42
PHerc1218,confirmation,1.5,480,0.87,4.27,14.63
PHerc1218,confirmation,2.0,480,2.09,9.89,21.12
PHerc1447,confirmation,0.5,480,0.34,1.53,14.25
PHerc1447,confirmation,1.0,480,0.45,1.6,8.15
PHerc1447,confirmation,1.5,480,1.02,3.98,8.45
PHerc1447,confirmation,2.0,480,2.67,7.88,21.75
PHerc1545,confirmation,0.5,480,0.33,1.4,23.89
PHerc1545,confirmation,1.0,480,0.51,2.44,10.55
PHerc1545,confirmation,1.5,480,0.77,4.2,17.44
PHerc1545,confirmation,2.0,480,2.0,7.88,24.4
