section,density_ratio,objective,p,n_seeds,segments,segments_sparse_side,lattice_step,lattice_half,fieldmax_err_median_units,fieldmax_err_p90_units,fieldmax_err_median_mm,fieldmax_dx_median_units,fieldmax_dy_median_units,estimate_err_median_units,estimate_err_p90_units,estimate_err_median_mm,estimate_dx_median_units,estimate_dy_median_units
circle 1:1,1.0,sum,0.5,20,40726,20357,4.0,600.0,8.9,13.2,0.084,0.0,-4.0,8.3,13.7,0.078,-0.9,-3.0
circle 1:1,1.0,sum,1.0,20,40726,20357,4.0,600.0,46.8,65.8,0.438,-2.0,-12.0,45.9,65.1,0.43,-2.9,-11.8
circle 1:1,1.0,sum,1.5,20,40726,20357,4.0,600.0,207.8,221.3,1.945,-88.0,-40.0,207.4,217.8,1.941,-76.6,9.2
circle 1:1,1.0,sum,2.0,20,40726,20357,4.0,600.0,375.2,526.0,3.513,-64.0,0.0,440.8,609.2,4.126,-180.7,49.4
ellipse 1.4,1.0,sum,0.5,20,40726,20357,4.0,600.0,8.9,23.4,0.084,-4.0,0.0,9.9,24.5,0.093,-4.4,0.8
ellipse 1.4,1.0,sum,1.0,20,40726,20357,4.0,600.0,125.4,200.4,1.174,-36.0,-2.0,125.7,199.7,1.177,-36.6,-0.1
ellipse 1.4,1.0,sum,1.5,20,40726,20357,4.0,600.0,210.4,274.9,1.97,-202.0,-8.0,210.0,264.8,1.966,-202.4,-4.2
ellipse 1.4,1.0,sum,2.0,20,40726,20357,4.0,600.0,279.2,455.9,2.614,-218.0,-14.0,321.2,591.3,3.007,-227.3,-26.3
half circle,1.0,sum,0.5,20,20333,10136,4.0,600.0,208.1,216.4,1.948,-4.0,208.0,207.2,214.9,1.94,-3.2,206.6
half circle,1.0,sum,1.0,20,20333,10136,4.0,600.0,261.0,364.0,2.444,-12.0,260.0,258.7,341.3,2.422,-10.8,257.5
half circle,1.0,sum,1.5,20,20333,10136,4.0,600.0,478.2,567.1,4.477,-38.0,450.0,489.8,808.1,4.586,-36.8,483.3
half circle,1.0,sum,2.0,20,20333,10136,4.0,600.0,558.2,686.2,5.226,-130.0,518.0,951.7,1690.3,8.909,-249.8,817.5
density 1:2,2.0,sum,0.5,20,30467,10098,4.0,600.0,107.0,113.5,1.002,106.0,0.0,106.2,114.0,0.994,105.2,-1.1
density 1:2,2.0,sum,1.0,20,30670,10301,4.0,600.0,201.9,205.5,1.89,200.0,2.0,202.1,205.8,1.892,199.4,1.8
density 1:2,2.0,sum,1.5,20,30670,10301,4.0,600.0,237.4,364.2,2.223,216.0,-30.0,238.7,295.9,2.235,221.8,-29.5
density 1:2,2.0,sum,2.0,20,30571,10202,4.0,600.0,523.5,605.3,4.901,414.0,-70.0,530.9,1010.4,4.97,417.0,-70.0
density 1:5,5.0,sum,0.5,20,24502,4133,4.0,600.0,174.6,185.2,1.634,174.0,2.0,173.3,185.3,1.622,172.5,0.7
density 1:5,5.0,sum,1.0,20,24438,4069,4.0,600.0,229.4,255.0,2.148,226.0,-6.0,229.7,255.8,2.151,226.5,-7.2
density 1:5,5.0,sum,1.5,20,24502,4133,4.0,600.0,402.9,594.9,3.772,346.0,-26.0,386.2,606.5,3.616,356.5,-21.3
density 1:5,5.0,sum,2.0,20,24492,4123,4.0,600.0,526.6,721.5,4.93,468.0,-120.0,763.5,1380.8,7.148,585.6,-88.5
density 1:10,10.0,sum,0.5,20,22433,2064,4.0,600.0,192.1,201.0,1.798,192.0,0.0,192.6,201.5,1.803,192.4,-0.8
density 1:10,10.0,sum,1.0,20,22424,2055,4.0,600.0,244.1,358.9,2.285,242.0,-6.0,244.3,289.4,2.287,243.1,-4.9
density 1:10,10.0,sum,1.5,20,22424,2055,4.0,600.0,478.7,601.2,4.481,420.0,-32.0,421.1,684.9,3.942,367.2,-35.5
density 1:10,10.0,sum,2.0,20,22432,2063,4.0,600.0,599.8,782.6,5.615,524.0,-186.0,866.8,1524.2,8.115,701.5,-320.5
