scroll,slices,flagged,left_the_grid,flagged_and_left,missed,all_flagged,p_scroll
PHerc0125,24,22,22,22,0,1,0.003623
PHerc0211,24,17,13,13,0,1,0.0009535
PHerc0332,24,1,1,1,0,1,0.04167
PHerc0826,24,24,16,16,0,1,1
PHercParis4,24,8,5,5,0,1,0.001318
PHerc0191,24,3,0,0,0,1,1 (no run left)
PHerc0257,24,9,3,2,1,0,0.0415
PHerc0268,24,10,1,1,0,1,0.4167
PHerc0358,24,12,10,10,0,1,3.365e-05
PHerc0800,24,10,6,6,0,1,0.00156
PHerc0813,24,8,2,2,0,1,0.1014
PHerc1203,24,10,8,8,0,1,6.119e-05
PHerc1218,24,23,23,23,0,1,0.04167
PHerc1447,24,18,11,11,0,1,0.01275
PHerc1545,24,17,14,14,0,1,0.0003467
