scroll,z,segments,samples,lambda_max,lambda_min,mean_at_reference,lambda_over_mean,predicts_runaway,estimate_k0_x,estimate_k0_y,mean_at_refined,predicts_runaway_refined,seeds,seeds_outside,outside_majority,outside_seed_zero
PHerc0125,2140,22904,10000,0.6329,0.3671,0.6887,0.9189,0,5099.05,2948.28,0.6936,0,20,0,0,0
PHerc0125,2932,26545,10000,0.6358,0.3642,0.6198,1.0258,1,5617.87,13061.15,0.6401,0,20,20,1,1
PHerc0125,3724,33709,10000,0.6655,0.3345,0.609,1.0928,1,4860.18,9782.53,0.6847,0,20,20,1,1
PHerc0125,4516,36689,10000,0.7069,0.2931,0.5657,1.2495,1,2497.68,14756.79,0.7144,0,20,20,1,1
PHerc0125,5308,38851,10000,0.7324,0.2676,0.5694,1.2862,1,2079.62,17428.85,0.7377,0,20,20,1,1
PHerc0125,6100,36941,10000,0.7447,0.2553,0.5359,1.3897,1,2594.23,16032.77,0.7502,0,20,20,1,1
PHerc0125,6891,36364,10000,0.7402,0.2598,0.5173,1.4308,1,242922.66,-2765740.11,0.7401,1,20,20,1,1
PHerc0125,7683,33723,10000,0.7709,0.2291,0.5106,1.5098,1,23999.08,-263275.46,0.7709,0,20,20,1,1
PHerc0125,8475,35399,10000,0.7829,0.2171,0.513,1.5261,1,71016.72,-661727.68,0.7829,1,20,20,1,1
PHerc0125,9267,37089,10000,0.7757,0.2243,0.5324,1.4569,1,6048.82,-10164.71,0.7779,0,20,20,1,1
PHerc0125,10059,33555,10000,0.7887,0.2113,0.513,1.5375,1,6257.89,-7895.36,0.7918,0,20,20,1,1
PHerc0125,10851,33313,10000,0.839,0.161,0.5102,1.6445,1,10034.58,-26532.67,0.84,0,20,20,1,1
PHerc0125,11643,32179,10000,0.8394,0.1606,0.5194,1.616,1,21612.05,-82646.16,0.8396,0,20,20,1,1
PHerc0125,12435,32830,10000,0.8157,0.1843,0.5293,1.5413,1,23983.23,-90636.19,0.8158,0,20,20,1,1
PHerc0125,13227,33670,10000,0.7792,0.2208,0.5486,1.4205,1,10423.07,-23154.86,0.7803,0,20,20,1,1
PHerc0125,14019,37234,10000,0.7784,0.2216,0.5563,1.3992,1,7059.98,-9665.88,0.7813,0,20,20,1,1
PHerc0125,14811,36333,10000,0.8144,0.1856,0.6094,1.3364,1,5746.53,-5575.27,0.8247,0,20,20,1,1
PHerc0125,15603,33234,10000,0.8241,0.1759,0.6129,1.3446,1,7489.8,-14022.77,0.8274,0,20,20,1,1
PHerc0125,16394,32888,10000,0.8231,0.1769,0.5929,1.3882,1,5266.9,-4917.29,0.8348,0,20,20,1,1
PHerc0125,17186,32624,10000,0.8313,0.1687,0.6063,1.3712,1,4785.71,-1760.23,0.8626,0,20,20,1,1
PHerc0125,17978,29738,10000,0.8238,0.1762,0.5849,1.4085,1,5028.68,-4268.49,0.8325,0,20,20,1,1
