scroll,z,segments,samples,lambda_max,lambda_min,mean_at_reference,lambda_over_mean,predicts_runaway,estimate_k0_x,estimate_k0_y,mean_at_refined,predicts_runaway_refined,seeds,seeds_outside,outside_majority,outside_seed_zero
PHerc0125,2140,22904,10000,0.6329,0.3671,0.6887,0.9189,0,5105.62,2895.87,0.6916,0,20,0,0,0
PHerc0125,2932,26545,10000,0.6358,0.3642,0.6198,1.0258,1,5359.94,14560.21,0.6398,0,20,20,1,1
PHerc0125,3724,33709,10000,0.6655,0.3345,0.609,1.0928,1,4904.27,9990.17,0.6847,0,20,20,1,1
PHerc0125,4516,36689,10000,0.7069,0.2931,0.5657,1.2495,1,2563.97,14516.56,0.7144,0,20,20,1,1
PHerc0125,5308,38851,10000,0.7324,0.2676,0.5694,1.2862,1,2385.87,16209.46,0.7376,0,20,20,1,1
PHerc0125,6100,36941,10000,0.7447,0.2553,0.5359,1.3897,1,2425.96,16415.81,0.7502,0,20,20,1,1
PHerc0125,6891,36364,10000,0.7402,0.2598,0.5173,1.4308,1,397929.28,-4726585.0,0.7402,1,20,20,1,1
PHerc0125,7683,33723,10000,0.7709,0.2291,0.5106,1.5098,1,6506.73,-25428.62,0.7702,1,20,20,1,1
PHerc0125,8475,35399,10000,0.7829,0.2171,0.513,1.5261,1,14959.55,-111687.98,0.7827,1,20,20,1,1
PHerc0125,9267,37089,10000,0.7757,0.2243,0.5324,1.4569,1,5895.41,-9240.83,0.7779,0,20,20,1,1
PHerc0125,10059,33555,10000,0.7887,0.2113,0.513,1.5375,1,6124.07,-6920.55,0.7918,0,20,20,1,1
PHerc0125,10851,33313,10000,0.839,0.161,0.5102,1.6445,1,9312.21,-23679.31,0.8399,0,20,20,1,1
PHerc0125,11643,32179,10000,0.8394,0.1606,0.5194,1.616,1,13623.36,-41369.71,0.8394,0,20,20,1,1
PHerc0125,12435,32830,10000,0.8157,0.1843,0.5293,1.5413,1,54000.72,-236226.61,0.8158,0,20,20,1,1
PHerc0125,13227,33670,10000,0.7792,0.2208,0.5486,1.4205,1,9537.83,-20753.44,0.7802,0,20,20,1,1
PHerc0125,14019,37234,10000,0.7784,0.2216,0.5563,1.3992,1,7309.38,-10315.67,0.7813,0,20,20,1,1
PHerc0125,14811,36333,10000,0.8144,0.1856,0.6094,1.3364,1,5577.27,-4524.99,0.8246,0,20,20,1,1
PHerc0125,15603,33234,10000,0.8241,0.1759,0.6129,1.3446,1,7219.4,-12444.26,0.8274,0,20,20,1,1
PHerc0125,16394,32888,10000,0.8231,0.1769,0.5929,1.3882,1,5139.58,-4460.52,0.8347,0,20,20,1,1
PHerc0125,17186,32624,10000,0.8313,0.1687,0.6063,1.3712,1,4685.12,-1640.71,0.8624,0,20,20,1,1
PHerc0125,17978,29738,10000,0.8238,0.1762,0.5849,1.4085,1,4966.13,-3682.3,0.8325,0,20,20,1,1
PHerc0125,18770,34245,10000,0.7769,0.2231,0.5671,1.37,1,9451.49,-38594.51,0.7768,1,20,20,1,1
PHerc0125,19562,32619,10000,0.7453,0.2547,0.5926,1.2577,1,5046.18,-5167.65,0.7558,0,20,20,1,1
PHerc0125,20354,23554,10000,0.697,0.303,0.7263,0.9596,0,4553.24,-1633.91,0.7092,0,20,1,0,1
PHerc0211,1702,9789,10000,0.6625,0.3375,0.7161,0.925,0,4507.96,5258.83,0.73,0,20,0,0,0
PHerc0211,2431,23001,10000,0.7378,0.2622,0.6104,1.2088,1,2518.0,-8048.85,0.7424,0,20,20,1,1
PHerc0211,3160,25246,10000,0.7462,0.2538,0.6577,1.1346,1,1613.08,-16838.64,0.7462,0,20,20,1,1
PHerc0211,3889,23745,10000,0.7453,0.2547,0.5822,1.28,1,-15181.94,-166509.5,0.7452,1,20,20,1,1
PHerc0211,4617,25370,10000,0.7686,0.2314,0.5874,1.3086,1,4204.8,12326.33,0.7754,0,20,20,1,1
PHerc0211,5346,25565,10000,0.708,0.292,0.596,1.1879,1,3318.09,8295.34,0.7469,0,20,20,1,1
PHerc0211,6075,23693,10000,0.6865,0.3135,0.6011,1.1421,1,3080.49,7113.9,0.7301,0,20,0,0,0
PHerc0211,6804,24088,10000,0.7276,0.2724,0.5849,1.244,1,3027.01,7712.42,0.766,0,20,0,0,0
PHerc0211,7533,24849,10000,0.7085,0.2915,0.6065,1.1682,1,2802.13,8026.62,0.7468,0,20,20,1,1
PHerc0211,8262,25443,10000,0.7089,0.2911,0.6627,1.0697,1,2343.02,9824.61,0.7306,0,20,20,1,1
PHerc0211,8991,24487,10000,0.7496,0.2504,0.6959,1.0772,1,128.22,16862.84,0.7559,0,20,20,1,1
PHerc0211,9720,23093,10000,0.734,0.266,0.6122,1.199,1,794.71,14572.23,0.741,0,20,20,1,1
PHerc0211,10448,20763,10000,0.7293,0.2707,0.6336,1.1511,1,-2116.9,26825.58,0.7315,0,20,20,1,1
PHerc0211,11177,26673,10000,0.7576,0.2424,0.6499,1.1658,1,2036.54,13131.73,0.7687,0,20,20,1,1
PHerc0211,11906,26229,10000,0.6966,0.3034,0.5628,1.2377,1,2979.7,18531.62,0.7027,0,20,20,1,1
PHerc0211,12635,32430,10000,0.6506,0.3494,0.5701,1.1413,1,3763.04,2752.15,0.6931,0,20,0,0,0
PHerc0211,13364,35005,10000,0.6952,0.3048,0.6499,1.0697,1,4246.91,9445.9,0.7107,0,20,20,1,1
PHerc0211,14093,31572,10000,0.6315,0.3685,0.684,0.9232,0,4573.93,3332.89,0.6948,0,20,0,0,0
PHerc0211,14822,31266,10000,0.6273,0.3727,0.6202,1.0114,1,3887.06,2634.69,0.6609,0,20,0,0,0
PHerc0211,15551,35245,10000,0.5833,0.4167,0.6475,0.9009,0,3314.76,3164.61,0.6819,0,20,0,0,0
