scroll,block,source,author,licence,voxel_um,reference_points,scored_on,z_lo,z_hi,heights_used,outside_as_is,outside_fixed,published_mm,no_division_mm,centroid_mm,fake_axis_mm,published_p90_mm,no_division_p90_mm,centroid_p90_mm,published_worst_mm,no_division_worst_mm,centroid_worst_mm,margin_vs_centroid_mm,grid_prediction,mask_prediction,note
PHerc0125,primary,challenge,Vesuvius Challenge,challenge open data,9.362,83,75,2140,19168,24,22,0,138.03,1.68,2.48,1.53,3631.46,3.17,5.81,25821.72,4.62,6.74,0.8,PHerc0125/representations/predictions/surfaces/20250821151825-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0125/representations/predictions/surfaces/20250821151825-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc0211,primary,challenge,Vesuvius Challenge,challenge open data,9.362,87,84,1702,17856,24,13,0,66.62,1.46,2.83,8.07,423.33,6.48,9.5,3356.21,9.81,11.9,1.37,PHerc0211/representations/predictions/surfaces/20250821151803-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0211/representations/predictions/surfaces/20250821151803-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc0332,primary,challenge,"Vesuvius Challenge, annotator David Josey",challenge open data,2.399,169,154,2792,30912,24,1,0,0.35,0.36,0.77,1.63,0.78,0.88,1.73,2.7,4.05,2.93,0.41,PHerc0332/representations/predictions/surfaces/20251211183505-surface-20260413222639-surface-m7-L2-th0.2.zarr/,PHerc0332/representations/predictions/surfaces/20251211183505-surface-20260413222639-surface-m7-L2-th0.2.zarr/,
PHerc0826,primary,challenge,Vesuvius Challenge,challenge open data,9.362,49,45,1941,15560,24,16,0,52.79,4.42,3.51,7.44,87.21,7.69,7.03,236.37,9.65,10.0,-0.91,PHerc0826/representations/predictions/surfaces/20250821151701-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0826/representations/predictions/surfaces/20250821151701-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHercParis4,primary,challenge,Vesuvius Challenge,challenge open data,2.4,146,127,6048,69728,24,6,0,7.26,1.17,3.39,7.63,651.78,5.31,5.23,10008.29,9.52,8.31,2.22,PHercParis4/representations/predictions/surfaces/20260411134726-surface-20260413141734-surface-recto-2um-ps256-L0-th0.45.zarr/,PHercParis4/representations/predictions/surfaces/20260411134726-surface-20260413222639-surface-m7-L2-th0.2.zarr/,normal grid from a predictor other than the other four; centroid from the m7-L2 prediction
PHerc0191,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,9.362,64,62,3496,17464,24,0,0,5.65,4.32,6.42,5.57,11.67,8.8,10.55,16.18,15.93,11.66,2.1,PHerc0191/representations/predictions/surfaces/20250821151635-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0191/representations/predictions/surfaces/20250821151635-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc0257,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,9.362,40,40,2888,17176,24,3,0,9.62,1.87,3.71,5.77,38.63,4.02,6.82,71.04,9.2,8.14,1.84,PHerc0257/representations/predictions/surfaces/20250821151750-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0257/representations/predictions/surfaces/20250821151750-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc0268,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,8.64,44,44,2680,12584,24,2,0,7.53,4.69,11.1,10.26,16.31,8.52,15.65,52.34,20.05,17.57,6.41,PHerc0268/representations/predictions/surfaces/20251110183117-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0268/representations/predictions/surfaces/20251110183117-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc0358,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,9.362,35,35,1768,12920,24,10,0,9.3,2.72,4.9,6.26,156.09,5.29,10.11,18930.1,8.18,12.58,2.18,PHerc0358/representations/predictions/surfaces/20250821151737-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0358/representations/predictions/surfaces/20250821151737-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc0800,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,8.64,40,40,3672,21352,24,6,0,4.99,2.85,6.63,9.78,296.98,5.63,9.28,14145.16,6.34,10.7,3.78,PHerc0800/representations/predictions/surfaces/20250521135224-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0800/representations/predictions/surfaces/20250521135224-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc0813,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,9.362,49,48,2600,15640,24,2,0,11.31,7.72,7.59,13.5,25.93,11.99,11.55,67.61,17.04,13.67,-0.13,PHerc0813/representations/predictions/surfaces/20250821151723-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc0813/representations/predictions/surfaces/20250821151723-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc1203,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,9.362,37,36,2320,17464,24,7,0,5.15,1.63,4.38,4.48,57.2,2.9,7.43,475.2,6.02,10.04,2.75,PHerc1203/representations/predictions/surfaces/20250820131727-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc1203/representations/predictions/surfaces/20250820131727-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc1218,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,8.64,36,36,3432,21144,24,22,0,103.81,1.77,2.15,5.01,4014.12,5.15,5.04,19089.05,9.26,6.93,0.38,PHerc1218/representations/predictions/surfaces/20250521120456-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc1218/representations/predictions/surfaces/20250521120456-surface-20260413222639-surface-m7-L0-th0.2.zarr/,their README says to prefer Dopico's file in the z band 7500 to 9500; a second independent reference is in dopico-PHerc1218-umbilicus.json
PHerc1447,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,8.64,36,36,2944,22112,24,11,0,35.11,1.67,3.18,6.73,166.81,3.77,8.12,271.42,5.76,9.39,1.51,PHerc1447/representations/predictions/surfaces/20250521151220-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc1447/representations/predictions/surfaces/20250521151220-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
PHerc1545,confirmation,drobkov,AlexeyDrobkovStrikesBack,MIT,9.362,32,32,2544,17960,24,14,0,47.73,1.54,2.4,7.05,321.0,5.0,4.58,3310.7,8.07,6.02,0.86,PHerc1545/representations/predictions/surfaces/20250821151648-surface-20260413222639-surface-m7-L0-th0.2.zarr/,PHerc1545/representations/predictions/surfaces/20250821151648-surface-20260413222639-surface-m7-L0-th0.2.zarr/,
