scroll,z,k,seed,variant,x,y,inside,capped
PHerc0191,3496,0,20264411,as-is,4219.483678874814,5359.280630473757,1,0
PHerc0191,3496,0,20264411,no-division,4357.483678874814,5384.280630473757,1,0
PHerc0191,3496,1,20265411,as-is,4166.880076325719,5373.792130132463,1,0
PHerc0191,3496,1,20265411,no-division,4290.880076325719,5443.792130132463,1,0
PHerc0191,3496,2,20266411,as-is,4179.455453880908,5333.949124747691,1,0
PHerc0191,3496,2,20266411,no-division,4358.455453880908,5382.949124747691,1,0
PHerc0191,3496,3,20267411,as-is,4223.472729083933,5376.367836334177,1,0
PHerc0191,3496,3,20267411,no-division,4263.472729083933,5476.367836334177,1,0
PHerc0191,3496,4,20268411,as-is,4227.960131337371,5387.506806213432,1,0
PHerc0191,3496,4,20268411,no-division,4271.960131337371,5466.506806213432,1,0
PHerc0191,3496,5,20269411,as-is,4279.52071612454,5343.579111620698,1,0
PHerc0191,3496,5,20269411,no-division,4309.52071612454,5364.579111620698,1,0
PHerc0191,3496,6,20270411,as-is,4280.866634015383,5359.30196668744,1,0
PHerc0191,3496,6,20270411,no-division,4313.866634015383,5476.30196668744,1,0
PHerc0191,3496,7,20271411,as-is,4226.963190541147,5351.04446048887,1,0
PHerc0191,3496,7,20271411,no-division,4260.963190541147,5331.04446048887,1,0
PHerc0191,3496,8,20272411,as-is,4189.925015537496,5358.804457223224,1,0
PHerc0191,3496,8,20272411,no-division,4367.925015537496,5342.804457223224,1,0
PHerc0191,3496,9,20273411,as-is,4216.128112401375,5359.213052622448,1,0
PHerc0191,3496,9,20273411,no-division,4340.128112401375,5368.213052622448,1,0
PHerc0191,3496,10,20274411,as-is,4100.855193076639,5339.931203815597,1,0
PHerc0191,3496,10,20274411,no-division,4317.855193076639,5395.931203815597,1,0
PHerc0191,3496,11,20275411,as-is,4220.850308069582,5373.642539463119,1,0
PHerc0191,3496,11,20275411,no-division,4268.850308069582,5461.642539463119,1,0
PHerc0191,3496,12,20276411,as-is,4154.481075937705,5384.769836951743,1,0
PHerc0191,3496,12,20276411,no-division,4096.481075937705,5383.769836951743,1,0
PHerc0191,3496,13,20277411,as-is,4177.799584630044,5378.406547028402,1,0
PHerc0191,3496,13,20277411,no-division,4273.799584630044,5440.406547028402,1,0
PHerc0191,3496,14,20278411,as-is,4234.339888265787,5363.975362356761,1,0
PHerc0191,3496,14,20278411,no-division,4349.339888265787,5356.975362356761,1,0
PHerc0191,3496,15,20279411,as-is,4235.139181847702,5359.815348579921,1,0
PHerc0191,3496,15,20279411,no-division,4310.139181847702,5454.815348579921,1,0
PHerc0191,3496,16,20280411,as-is,4250.350497019012,5355.585810025916,1,0
PHerc0191,3496,16,20280411,no-division,4265.350497019012,5376.585810025916,1,0
PHerc0191,3496,17,20281411,as-is,4285.704207692223,5343.514738391562,1,0
PHerc0191,3496,17,20281411,no-division,4313.704207692223,5352.514738391562,1,0
PHerc0191,3496,18,20282411,as-is,4245.715266262291,5386.227768079468,1,0
PHerc0191,3496,18,20282411,no-division,4256.715266262291,5443.227768079468,1,0
PHerc0191,3496,19,20283411,as-is,4235.05011831661,5368.673735333025,1,0
PHerc0191,3496,19,20283411,no-division,4304.05011831661,5368.673735333025,1,0
PHerc0191,4121,0,20265036,as-is,4278.666980589432,4967.732173948997,1,0
PHerc0191,4121,0,20265036,no-division,4591.666980589432,5002.732173948997,1,0
PHerc0191,4121,1,20266036,as-is,4436.348183808431,4970.253279572437,1,0
PHerc0191,4121,1,20266036,no-division,4538.348183808431,4958.253279572437,1,0
PHerc0191,4121,2,20267036,as-is,4378.194451037782,4951.488256202107,1,0
PHerc0191,4121,2,20267036,no-division,4591.194451037782,4993.488256202107,1,0
PHerc0191,4121,3,20268036,as-is,4450.2740436065615,4974.53275840391,1,0
PHerc0191,4121,3,20268036,no-division,4556.2740436065615,4980.53275840391,1,0
PHerc0191,4121,4,20269036,as-is,4409.562848999356,4965.654193952989,1,0
PHerc0191,4121,4,20269036,no-division,4559.562848999356,4973.654193952989,1,0
PHerc0191,4121,5,20270036,as-is,4560.089193088626,4985.404634304907,1,0
PHerc0191,4121,5,20270036,no-division,4589.089193088626,4999.404634304907,1,0
PHerc0191,4121,6,20271036,as-is,4439.742866896503,4960.551411768617,1,0
PHerc0191,4121,6,20271036,no-division,4834.742866896503,5162.551411768617,1,0
PHerc0191,4121,7,20272036,as-is,4404.699381158955,5830.239485469588,1,0
PHerc0191,4121,7,20272036,no-division,4554.699381158955,5000.239485469588,1,0
PHerc0191,4121,8,20273036,as-is,4418.373894470376,4966.323736557049,1,0
PHerc0191,4121,8,20273036,no-division,4579.373894470376,4953.323736557049,1,0
PHerc0191,4121,9,20274036,as-is,4309.977110430104,4957.688257099577,1,0
PHerc0191,4121,9,20274036,no-division,4618.977110430104,5008.688257099577,1,0
PHerc0191,4121,10,20275036,as-is,4371.957945926696,4966.11812505603,1,0
PHerc0191,4121,10,20275036,no-division,4587.957945926696,4994.11812505603,1,0
PHerc0191,4121,11,20276036,as-is,4537.86229064755,4991.328366377968,1,0
PHerc0191,4121,11,20276036,no-division,4581.86229064755,4993.328366377968,1,0
PHerc0191,4121,12,20277036,as-is,4416.2622462393765,4948.61668021924,1,0
PHerc0191,4121,12,20277036,no-division,4550.2622462393765,4977.61668021924,1,0
PHerc0191,4121,13,20278036,as-is,4478.700615605159,5001.556810436302,1,0
PHerc0191,4121,13,20278036,no-division,4553.700615605159,4992.556810436302,1,0
PHerc0191,4121,14,20279036,as-is,4323.102035375127,4959.853731407999,1,0
PHerc0191,4121,14,20279036,no-division,4321.102035375127,4955.853731407999,1,0
PHerc0191,4121,15,20280036,as-is,4932.320936708583,5244.56956421565,1,0
PHerc0191,4121,15,20280036,no-division,4609.320936708583,5002.56956421565,1,0
PHerc0191,4121,16,20281036,as-is,4954.35180534873,5242.919078074145,1,0
PHerc0191,4121,16,20281036,no-division,4841.35180534873,5141.919078074145,1,0
PHerc0191,4121,17,20282036,as-is,4435.443193704823,4988.6351291703295,1,0
PHerc0191,4121,17,20282036,no-division,4802.443193704823,5142.6351291703295,1,0
PHerc0191,4121,18,20283036,as-is,4413.646343817948,4969.4198323367345,1,0
PHerc0191,4121,18,20283036,no-division,4582.646343817948,5005.4198323367345,1,0
PHerc0191,4121,19,20284036,as-is,4297.649010457118,4942.624864512346,1,0
PHerc0191,4121,19,20284036,no-division,4559.649010457118,4983.624864512346,1,0
PHerc0191,4747,0,20265662,as-is,4440.695514431202,4778.380617306757,1,0
PHerc0191,4747,0,20265662,no-division,4369.695514431202,4712.380617306757,1,0
PHerc0191,4747,1,20266662,as-is,4433.2078278297,4788.208301826923,1,0
PHerc0191,4747,1,20266662,no-division,4422.2078278297,4759.208301826923,1,0
PHerc0191,4747,2,20267662,as-is,4403.640119108363,4796.644636230727,1,0
PHerc0191,4747,2,20267662,no-division,4355.640119108363,4727.644636230727,1,0
PHerc0191,4747,3,20268662,as-is,3997.3137931820193,6087.826733857419,1,0
