scroll,z,variant,x,y,width,height,inside,capped
PHerc0125,1667,as-is,4735.48,2655.8,8387.0,8387.0,1,0
PHerc0125,1667,no-division,5028.48,4376.8,8387.0,8387.0,1,0
PHerc0125,2428,as-is,5159.25,3165.82,8387.0,8387.0,1,0
PHerc0125,2428,no-division,5174.25,3338.82,8387.0,8387.0,1,0
PHerc0125,3189,as-is,5730.5,9867.49,8387.0,8387.0,0,0
PHerc0125,3189,no-division,4826.5,3126.49,8387.0,8387.0,1,0
PHerc0125,3950,as-is,4204.24,10819.39,8387.0,8387.0,0,0
PHerc0125,3950,no-division,4711.24,3665.39,8387.0,8387.0,1,0
PHerc0125,4711,as-is,2608.96,12611.11,8387.0,8387.0,0,0
PHerc0125,4711,no-division,4466.96,3529.11,8387.0,8387.0,1,0
PHerc0125,5472,as-is,2305.05,17322.21,8387.0,8387.0,0,0
PHerc0125,5472,no-division,4402.05,3978.21,8387.0,8387.0,1,0
PHerc0125,6233,as-is,2238.09,18996.38,8387.0,8387.0,0,0
PHerc0125,6233,no-division,4381.09,4127.38,8387.0,8387.0,1,0
PHerc0125,6994,as-is,24887.48,-217706.09,8387.0,8387.0,0,1
PHerc0125,6994,no-division,4474.48,4147.91,8387.0,8387.0,1,0
PHerc0125,7756,as-is,6040.6,-18874.13,8387.0,8387.0,0,0
PHerc0125,7756,no-division,4304.6,4286.87,8387.0,8387.0,1,0
PHerc0125,8517,as-is,74097.12,-642972.75,8387.0,8387.0,0,1
PHerc0125,8517,no-division,4509.12,4253.25,8387.0,8387.0,1,0
PHerc0125,9278,as-is,5716.65,-8272.83,8387.0,8387.0,0,0
PHerc0125,9278,no-division,4305.65,4143.17,8387.0,8387.0,1,0
PHerc0125,10039,as-is,6068.23,-6985.65,8387.0,8387.0,0,0
PHerc0125,10039,no-division,4413.23,4175.35,8387.0,8387.0,1,0
PHerc0125,10800,as-is,8921.38,-20244.19,8387.0,8387.0,0,0
PHerc0125,10800,no-division,4098.38,4091.81,8387.0,8387.0,1,0
PHerc0125,11561,as-is,30256.97,-130799.74,8387.0,8387.0,0,1
PHerc0125,11561,no-division,4417.97,4138.26,8387.0,8387.0,1,0
PHerc0125,12322,as-is,16916.81,-58300.08,8387.0,8387.0,0,0
PHerc0125,12322,no-division,4272.81,4079.92,8387.0,8387.0,1,0
PHerc0125,13083,as-is,10675.76,-26632.39,8387.0,8387.0,0,0
PHerc0125,13083,no-division,4339.76,4055.61,8387.0,8387.0,1,0
PHerc0125,13845,as-is,6672.02,-7957.84,8387.0,8387.0,0,0
PHerc0125,13845,no-division,4328.02,4303.16,8387.0,8387.0,1,0
PHerc0125,14606,as-is,5499.6,-3949.54,8387.0,8387.0,0,0
PHerc0125,14606,no-division,4421.6,4211.46,8387.0,8387.0,1,0
PHerc0125,15367,as-is,6755.19,-11319.3,8387.0,8387.0,0,0
PHerc0125,15367,no-division,4331.19,4323.7,8387.0,8387.0,1,0
PHerc0125,16128,as-is,5713.73,-8211.01,8387.0,8387.0,0,0
PHerc0125,16128,no-division,4490.73,4288.99,8387.0,8387.0,1,0
PHerc0125,16889,as-is,4617.82,-1768.07,8387.0,8387.0,0,0
PHerc0125,16889,no-division,4621.82,4057.93,8387.0,8387.0,1,0
PHerc0125,17650,as-is,4999.34,-2738.8,8387.0,8387.0,0,0
PHerc0125,17650,no-division,4478.34,4098.2,8387.0,8387.0,1,0
PHerc0125,18411,as-is,4899.79,-3556.84,8387.0,8387.0,0,0
PHerc0125,18411,no-division,4194.79,3977.16,8387.0,8387.0,1,0
PHerc0125,19172,as-is,1310.32,25445.3,8387.0,8387.0,0,0
PHerc0125,19172,no-division,4585.32,3801.3,8387.0,8387.0,1,0
PHerc0175A,1019,as-is,6757.88,5225.19,9363.0,9363.0,1,0
PHerc0175A,1019,no-division,7299.88,4724.19,9363.0,9363.0,1,0
PHerc0175A,1485,as-is,3600.23,5270.07,9363.0,9363.0,1,0
PHerc0175A,1485,no-division,4719.23,3252.07,9363.0,9363.0,1,0
PHerc0175A,1950,as-is,4349.68,5099.24,9363.0,9363.0,1,0
PHerc0175A,1950,no-division,4053.68,5342.24,9363.0,9363.0,1,0
PHerc0175A,2416,as-is,6002.15,140.49,9363.0,9363.0,1,0
PHerc0175A,2416,no-division,4346.15,5984.49,9363.0,9363.0,1,0
PHerc0175A,2882,as-is,6175.62,1694.27,9363.0,9363.0,1,0
PHerc0175A,2882,no-division,3641.62,6370.27,9363.0,9363.0,1,0
PHerc0175A,3347,as-is,6288.76,2032.91,9363.0,9363.0,1,0
PHerc0175A,3347,no-division,3754.76,6403.91,9363.0,9363.0,1,0
PHerc0175A,3813,as-is,6439.47,1310.46,9363.0,9363.0,1,0
PHerc0175A,3813,no-division,3919.47,6230.46,9363.0,9363.0,1,0
PHerc0175A,4278,as-is,6574.34,1105.08,9363.0,9363.0,1,0
PHerc0175A,4278,no-division,3983.34,5746.08,9363.0,9363.0,1,0
PHerc0175A,4744,as-is,4007.79,5578.26,9363.0,9363.0,1,0
PHerc0175A,4744,no-division,3968.79,5563.26,9363.0,9363.0,1,0
