section,density_ratio,objective,n_seeds,segments,segments_sparse_side,lattice_step,lattice_half,fieldmax_err_median_units,fieldmax_err_p90_units,fieldmax_err_median_mm,fieldmax_dx_median_units,fieldmax_dy_median_units,estimate_err_median_units,estimate_err_p90_units,estimate_err_median_mm,estimate_dx_median_units,estimate_dy_median_units
circle 1:1,1.0,sum,20,40726,20357,4.0,600.0,46.8,65.8,0.438,-2.0,-12.0,45.9,65.1,0.43,-2.9,-11.8
circle 1:1,1.0,mean,20,40726,20357,4.0,600.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.004,0.2,-0.1
ellipse 1.4,1.0,sum,20,40726,20357,4.0,600.0,125.4,200.4,1.174,-36.0,-2.0,125.7,199.7,1.177,-36.6,-0.1
ellipse 1.4,1.0,mean,20,40726,20357,4.0,600.0,5.7,13.8,0.053,0.0,0.0,6.0,15.7,0.056,-0.2,0.6
half circle,1.0,sum,20,20333,10136,4.0,600.0,261.0,364.0,2.444,-12.0,260.0,258.7,341.3,2.422,-10.8,257.5
half circle,1.0,mean,20,20333,10136,4.0,600.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.003,0.2,-0.2
density 1:2,2.0,sum,20,30646,10277,4.0,600.0,201.9,205.5,1.89,200.0,2.0,202.1,205.8,1.892,199.4,1.8
density 1:2,2.0,mean,20,30646,10277,4.0,600.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.004,0.2,-0.1
density 1:5,5.0,sum,20,24426,4057,4.0,600.0,229.4,255.0,2.148,226.0,-6.0,229.7,255.8,2.151,226.5,-7.2
density 1:5,5.0,mean,20,24426,4057,4.0,600.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.004,0.2,-0.1
density 1:10,10.0,sum,20,22445,2076,4.0,600.0,244.1,358.9,2.285,242.0,-6.0,244.3,289.4,2.287,243.1,-4.9
density 1:10,10.0,mean,20,22445,2076,4.0,600.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.004,0.2,-0.1
