# binary ./driver, dump d-0125-6891.bin, 20 repeats, 2026-09-15T20:04:27Z
grid 8387x8387, 5541 paths, 41905 points, 36364 segments
Refined umbilicus estimate: [410480, -4.8227e+06] with score 0.731891
run 0: umbilicus (410480.1, -4822701.5)   OUTSIDE THE GRID
Refined umbilicus estimate: [277499, -3.7025e+06] with score 0.733958
run 1: umbilicus (277499.4, -3702504.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [360091, -4.57863e+06] with score 0.732348
run 2: umbilicus (360091.0, -4578628.5)   OUTSIDE THE GRID
Refined umbilicus estimate: [326473, -4.02511e+06] with score 0.734908
run 3: umbilicus (326473.2, -4025112.8)   OUTSIDE THE GRID
Refined umbilicus estimate: [403416, -4.21828e+06] with score 0.732491
run 4: umbilicus (403415.7, -4218281.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [402640, -4.50097e+06] with score 0.733929
run 5: umbilicus (402640.0, -4500970.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [443899, -4.8198e+06] with score 0.738462
run 6: umbilicus (443899.0, -4819800.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [285225, -3.75057e+06] with score 0.739533
run 7: umbilicus (285224.6, -3750571.2)   OUTSIDE THE GRID
Refined umbilicus estimate: [379805, -4.1353e+06] with score 0.742573
run 8: umbilicus (379805.4, -4135303.5)   OUTSIDE THE GRID
Refined umbilicus estimate: [438341, -4.91368e+06] with score 0.735197
run 9: umbilicus (438341.5, -4913682.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [340132, -4.22474e+06] with score 0.733435
run 10: umbilicus (340132.1, -4224743.5)   OUTSIDE THE GRID
Refined umbilicus estimate: [2646.46, 19089.7] with score 0.747114
run 11: umbilicus (2646.5, 19089.7)   OUTSIDE THE GRID
Refined umbilicus estimate: [425248, -4.82092e+06] with score 0.741507
run 12: umbilicus (425248.4, -4820920.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [364111, -4.17513e+06] with score 0.73612
run 13: umbilicus (364111.2, -4175132.8)   OUTSIDE THE GRID
Refined umbilicus estimate: [378274, -4.46281e+06] with score 0.738457
run 14: umbilicus (378273.9, -4462814.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [357774, -3.82675e+06] with score 0.739264
run 15: umbilicus (357774.0, -3826752.8)   OUTSIDE THE GRID
Refined umbilicus estimate: [263452, -2.94911e+06] with score 0.736536
run 16: umbilicus (263452.1, -2949110.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [2779.62, 17169.4] with score 0.741951
run 17: umbilicus (2779.6, 17169.4)   OUTSIDE THE GRID
Refined umbilicus estimate: [368572, -4.18897e+06] with score 0.7367
run 18: umbilicus (368572.2, -4188967.0)   OUTSIDE THE GRID
Refined umbilicus estimate: [2858.27, 18030.8] with score 0.738601
run 19: umbilicus (2858.3, 18030.8)   OUTSIDE THE GRID
