# binary ./driver, dump d-0826-8000.bin, 20 repeats, 2026-09-15T20:06:21Z
grid 8169x8169, 3063 paths, 24685 points, 21622 segments
Refined umbilicus estimate: [3061.61, -673.151] with score 0.684343
run 0: umbilicus (3061.6, -673.2)   OUTSIDE THE GRID
Refined umbilicus estimate: [3035.71, -480.629] with score 0.678055
run 1: umbilicus (3035.7, -480.6)   OUTSIDE THE GRID
Refined umbilicus estimate: [3109.91, -431.083] with score 0.682682
run 2: umbilicus (3109.9, -431.1)   OUTSIDE THE GRID
Refined umbilicus estimate: [3133.15, -732.305] with score 0.68209
run 3: umbilicus (3133.2, -732.3)   OUTSIDE THE GRID
Refined umbilicus estimate: [2992.93, -530.91] with score 0.679681
run 4: umbilicus (2992.9, -530.9)   OUTSIDE THE GRID
Refined umbilicus estimate: [3091.79, -463.386] with score 0.679515
run 5: umbilicus (3091.8, -463.4)   OUTSIDE THE GRID
Refined umbilicus estimate: [3001.23, -704.151] with score 0.687421
run 6: umbilicus (3001.2, -704.2)   OUTSIDE THE GRID
Refined umbilicus estimate: [3023.18, -451.676] with score 0.680713
run 7: umbilicus (3023.2, -451.7)   OUTSIDE THE GRID
Refined umbilicus estimate: [2978.81, -578.225] with score 0.68454
run 8: umbilicus (2978.8, -578.2)   OUTSIDE THE GRID
Refined umbilicus estimate: [3060.98, -427.949] with score 0.680577
run 9: umbilicus (3061.0, -427.9)   OUTSIDE THE GRID
Refined umbilicus estimate: [3077.85, -328.483] with score 0.682361
run 10: umbilicus (3077.8, -328.5)   OUTSIDE THE GRID
Refined umbilicus estimate: [3012.02, -445.716] with score 0.683758
run 11: umbilicus (3012.0, -445.7)   OUTSIDE THE GRID
Refined umbilicus estimate: [3119.62, -406.559] with score 0.682167
run 12: umbilicus (3119.6, -406.6)   OUTSIDE THE GRID
Refined umbilicus estimate: [3076.46, -446.683] with score 0.679433
run 13: umbilicus (3076.5, -446.7)   OUTSIDE THE GRID
Refined umbilicus estimate: [3055.09, -477.25] with score 0.682494
run 14: umbilicus (3055.1, -477.3)   OUTSIDE THE GRID
Refined umbilicus estimate: [3038.81, -297.683] with score 0.68128
run 15: umbilicus (3038.8, -297.7)   OUTSIDE THE GRID
Refined umbilicus estimate: [3043.04, -696.431] with score 0.682093
run 16: umbilicus (3043.0, -696.4)   OUTSIDE THE GRID
Refined umbilicus estimate: [3070.31, -493.356] with score 0.680145
run 17: umbilicus (3070.3, -493.4)   OUTSIDE THE GRID
Refined umbilicus estimate: [3123.28, -214.28] with score 0.678121
run 18: umbilicus (3123.3, -214.3)   OUTSIDE THE GRID
Refined umbilicus estimate: [3118.5, -399.572] with score 0.680306
run 19: umbilicus (3118.5, -399.6)   OUTSIDE THE GRID
