scroll,block,second_reference,voxel_um,n_hand,n_second,median_hand_vs_second_mm,median_second_vs_hand_mm,mean_both_directions_mm,p90_hand_vs_second_mm,p90_second_vs_hand_mm,worst_hand_vs_second_mm,worst_second_vs_hand_mm,median_offset_removed_hand_vs_second_mm,median_offset_norm_mm,estimator_error_mm,estimator_error_k20_mm,centroid_baseline_mm
PHerc0125,primary,"mask centroid, derived here",9.362,83,285,2.621,2.333,2.477,6.51,6.407,7.063,7.18,2.389,1.004,1.68,1.59,2.48
PHerc0191,confirmation,"mask centroid, derived here",9.362,64,225,6.599,6.132,6.365,10.729,9.954,12.051,12.051,6.098,3.106,4.32,4.15,6.42
PHerc0211,primary,"mask centroid, derived here",9.362,87,262,3.082,2.69,2.886,9.998,9.522,12.199,12.374,3.093,0.972,1.46,1.47,2.83
PHerc0257,confirmation,"mask centroid, derived here",9.362,40,223,3.961,3.983,3.972,7.014,6.971,8.305,8.306,3.874,1.5,1.87,1.87,3.71
PHerc0268,confirmation,"mask centroid, derived here",8.64,44,155,11.178,10.317,10.748,15.419,15.419,16.498,16.216,10.92,1.172,4.69,4.32,11.1
PHerc0332,primary,"mask centroid, derived here",2.399,168,479,0.794,0.739,0.766,2.302,2.318,6.824,7.876,0.699,0.227,0.36,0.36,0.77
PHerc0358,confirmation,"mask centroid, derived here",9.362,35,174,5.642,5.398,5.52,10.809,11.736,13.504,13.474,6.372,1.589,2.72,2.89,4.9
PHerc0800,confirmation,"mask centroid, derived here",8.64,40,276,7.173,7.125,7.149,9.619,9.466,13.382,13.25,5.919,2.173,2.85,2.68,6.63
PHerc0813,confirmation,"mask centroid, derived here",9.362,49,209,8.023,7.596,7.809,11.871,11.339,14.012,13.997,8.243,4.764,7.72,7.11,7.59
PHerc0826,primary,"mask centroid, derived here",9.362,49,224,3.747,3.272,3.51,7.19,7.039,11.044,11.227,2.768,1.592,4.42,4.27,3.51
PHerc1203,confirmation,"mask centroid, derived here",9.362,37,242,4.551,4.721,4.636,7.938,8.348,10.946,11.276,4.313,0.415,1.63,1.44,4.38
PHerc1218,confirmation,"Dopico, published",8.64,36,276,2.205,2.003,2.104,5.335,4.374,7.248,7.2,2.062,1.244,1.77,2.47,2.15
PHerc1218,confirmation,"mask centroid, derived here",8.64,36,277,2.11,1.937,2.023,5.387,4.4,7.23,7.225,2.053,1.242,1.77,2.47,2.15
PHerc1447,confirmation,"mask centroid, derived here",8.64,36,300,3.531,3.213,3.372,9.569,9.026,10.146,10.221,2.828,2.121,1.67,1.76,3.18
PHerc1545,confirmation,"mask centroid, derived here",9.362,32,241,2.441,2.164,2.303,4.822,4.805,7.148,7.14,2.453,0.208,1.54,1.87,2.4
PHercParis4,primary,"mask centroid, derived here",2.4,146,1105,3.665,3.655,3.66,5.906,6.812,11.972,11.972,3.578,0.344,1.17,1.13,3.39
