scroll,estimator,z,published_x,published_y,error_mm
PHerc0125,argmax,2140,5081,3019,3.437
PHerc0125,argmax,2264,5094,2977,6.38
PHerc0125,argmax,2535,4924,2962,9.751
PHerc0125,argmax,2749,4883,3010,8.381
PHerc0125,argmax,2966,4880,3079,7.623
PHerc0125,argmax,3190,4849,3108,6.145
PHerc0125,argmax,3309,4775,3146,5.399
PHerc0125,argmax,3528,4605,3208,4.238
PHerc0125,argmax,4040,4349,3501,1.272
PHerc0125,argmax,4198,4315,3732,1.446
PHerc0125,argmax,4406,4361,3906,3.361
PHerc0125,argmax,5013,4302,3906,2.304
PHerc0125,argmax,5208,4293,3905,1.74
PHerc0125,argmax,5387,4305,3914,0.914
PHerc0125,argmax,5656,4280,3933,0.807
PHerc0125,argmax,5710,4386,4002,2.191
PHerc0125,argmax,6190,4328,4239,6.365
PHerc0125,argmax,6614,4340,4293,6.393
PHerc0125,argmax,6898,4320,4346,6.881
PHerc0125,argmax,7200,4275,4335,4.505
PHerc0125,argmax,7541,4322,4358,5.933
PHerc0125,argmax,7789,4318,4318,4.195
PHerc0125,argmax,8006,4304,4314,2.689
PHerc0125,argmax,8252,4337,4306,0.553
PHerc0125,argmax,8466,4332,4265,2.723
PHerc0125,argmax,8705,4304,4252,4.873
PHerc0125,argmax,8919,4282,4179,2.339
PHerc0125,argmax,9055,4297,4175,0.874
PHerc0125,argmax,9359,4309,4188,0.554
PHerc0125,argmax,9507,4307,4202,0.191
PHerc0125,argmax,9828,4285,4182,1.359
PHerc0125,argmax,10001,4256,4181,1.153
PHerc0125,argmax,10267,4201,4132,4.225
PHerc0125,argmax,10587,4125,4117,1.008
PHerc0125,argmax,10848,4207,4138,1.365
PHerc0125,argmax,11168,4184,4104,2.082
PHerc0125,argmax,11393,4227,4098,1.055
PHerc0125,argmax,11890,4283,4163,0.688
PHerc0125,argmax,12058,4231,4235,0.75
PHerc0125,argmax,12228,4240,4219,0.844
PHerc0125,argmax,12446,4296,4186,0.306
PHerc0125,argmax,12738,4248,4155,3.208
PHerc0125,argmax,12965,4253,4131,6.899
PHerc0125,argmax,13213,4229,4116,7.738
PHerc0125,argmax,13472,4242,4153,6.038
PHerc0125,argmax,13768,4246,4169,3.765
PHerc0125,argmax,13874,4190,4373,5.46
PHerc0125,argmax,14075,4203,4330,9.239
PHerc0125,argmax,14291,4246,4380,9.343
PHerc0125,argmax,14574,4240,4376,7.689
PHerc0125,argmax,14831,4222,4383,1.871
PHerc0125,argmax,15092,4231,4327,1.165
PHerc0125,argmax,15293,4251,4316,1.601
PHerc0125,argmax,15481,4255,4385,1.548
PHerc0125,argmax,15591,4238,4382,1.706
PHerc0125,argmax,15803,4220,4414,2.147
PHerc0125,argmax,15928,4173,4265,3.024
PHerc0125,argmax,16105,4199,4277,3.045
PHerc0125,argmax,16297,4229,4306,3.14
PHerc0125,argmax,16437,4199,4351,3.802
PHerc0125,argmax,16510,4195,4382,3.783
PHerc0125,argmax,16715,4278,4412,2.661
PHerc0125,argmax,16935,4239,4434,1.97
PHerc0125,argmax,17134,4267,4396,1.106
PHerc0125,argmax,17298,4219,4258,1.564
PHerc0125,argmax,17395,4272,4120,3.109
PHerc0125,argmax,17552,4265,4089,4.098
PHerc0125,argmax,17707,4235,4085,3.901
PHerc0125,argmax,17888,4287,4095,4.043
PHerc0125,argmax,18067,4241,4099,3.374
PHerc0125,argmax,18294,4217,4022,2.121
PHerc0125,argmax,18506,4242,4010,0.67
PHerc0125,argmax,18657,4319,3995,2.618
PHerc0125,argmax,18890,4282,3982,6.542
PHerc0125,argmax,19084,4319,3923,8.401
